Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	19.990371965	19.990371965	0.0	48000.0	05-C03-18-03	a	2018
2	Waveform 1	1	19.996476455	19.996476455	0.0	48000.0	05-C03-18-03	a	2018
3	Waveform 1	1	20.005380974	20.005380974	0.0	48000.0	05-C03-18-03	a	2018
4	Waveform 1	1	20.016519441	20.016519441	0.0	48000.0	05-C03-18-03	a	2018
5	Waveform 1	1	20.023437222	20.023437222	0.0	48000.0	05-C03-18-03	a	2018
6	Waveform 1	1	20.033669751	20.033669751	0.0	48000.0	05-C03-18-03	a	2018
7	Waveform 1	1	20.043665511	20.043665511	0.0	48000.0	05-C03-18-03	a	2018
8	Waveform 1	1	20.051391390	20.051401685	0.0	48000.0	05-C03-18-03	a	2018
9	Waveform 1	1	20.062730551	20.062730551	0.0	48000.0	05-C03-18-03	a	2018
10	Waveform 1	1	20.069493918	20.069493918	0.0	48000.0	05-C03-18-03	a	2018
11	Waveform 1	1	20.079777963	20.079777963	0.0	48000.0	05-C03-18-03	a	2018
12	Waveform 1	1	20.089722252	20.089722252	0.0	48000.0	05-C03-18-03	a	2018
13	Waveform 1	1	20.097309159	20.097309159	0.0	48000.0	05-C03-18-03	a	2018
14	Waveform 1	1	20.108334345	20.108334345	0.0	48000.0	05-C03-18-03	a	2018
15	Waveform 1	1	20.120141939	20.120141939	0.0	48000.0	05-C03-18-03	a	2018
16	Waveform 1	1	20.470652534	20.470652534	0.0	48000.0	05-C03-18-03	b	2018
17	Waveform 1	1	20.476685009	20.476685009	0.0	48000.0	05-C03-18-03	b	2018
18	Waveform 1	1	20.485743993	20.485743993	0.0	48000.0	05-C03-18-03	b	2018
19	Waveform 1	1	20.497098595	20.497098595	0.0	48000.0	05-C03-18-03	b	2018
20	Waveform 1	1	20.503831079	20.503831079	0.0	48000.0	05-C03-18-03	b	2018
21	Waveform 1	1	20.513785663	20.513785663	0.0	48000.0	05-C03-18-03	b	2018
22	Waveform 1	1	20.524337358	20.524337358	0.0	48000.0	05-C03-18-03	b	2018
23	Waveform 1	1	20.531636026	20.531636026	0.0	48000.0	05-C03-18-03	b	2018
24	Waveform 1	1	20.542764154	20.542764154	0.0	48000.0	05-C03-18-03	b	2018
25	Waveform 1	1	20.549815760	20.549815760	0.0	48000.0	05-C03-18-03	b	2018
26	Waveform 1	1	20.559801227	20.559801227	0.0	48000.0	05-C03-18-03	b	2018
27	Waveform 1	1	20.570507291	20.570507291	0.0	48000.0	05-C03-18-03	b	2018
28	Waveform 1	1	20.577682427	20.577682427	0.0	48000.0	05-C03-18-03	b	2018
29	Waveform 1	1	20.588512068	20.588512068	0.0	48000.0	05-C03-18-03	b	2018
30	Waveform 1	1	20.598044587	20.598044587	0.0	48000.0	05-C03-18-03	b	2018
31	Waveform 1	1	20.609038891	20.609038891	0.0	48000.0	05-C03-18-03	b	2018
32	Waveform 1	1	21.007500645	21.007500645	0.0	48000.0	05-C03-18-03	c	2018
33	Waveform 1	1	21.013502655	21.013502655	0.0	48000.0	05-C03-18-03	c	2018
34	Waveform 1	1	21.022543359	21.022543359	0.0	48000.0	05-C03-18-03	c	2018
