Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	20.150470895	20.150470895	0.000	48000.000	06-C03-18-01	a	2018
2	Waveform 1	1	20.156344276	20.156344276	0.000	48000.000	06-C03-18-01	a	2018
3	Waveform 1	1	20.163761602	20.163761602	0.000	48000.000	06-C03-18-01	a	2018
4	Waveform 1	1	20.173150589	20.173150589	0.000	48000.000	06-C03-18-01	a	2018
5	Waveform 1	1	20.180187444	20.180187444	0.000	48000.000	06-C03-18-01	a	2018
6	Waveform 1	1	20.188044130	20.188044130	0.000	48000.000	06-C03-18-01	a	2018
7	Waveform 1	1	20.198300256	20.198300256	0.000	48000.000	06-C03-18-01	a	2018
8	Waveform 1	1	20.204304403	20.204304403	0.000	48000.000	06-C03-18-01	a	2018
9	Waveform 1	1	20.212730897	20.212730897	0.000	48000.000	06-C03-18-01	a	2018
10	Waveform 1	1	20.223179503	20.223179503	0.000	48000.000	06-C03-18-01	a	2018
11	Waveform 1	1	20.229011117	20.229011117	0.000	48000.000	06-C03-18-01	a	2018
12	Waveform 1	1	20.238451933	20.238451933	0.000	48000.000	06-C03-18-01	a	2018
13	Waveform 1	1	20.247133812	20.247133812	0.000	48000.000	06-C03-18-01	a	2018
14	Waveform 1	1	20.253544931	20.253544931	0.000	48000.000	06-C03-18-01	a	2018
15	Waveform 1	1	20.263434330	20.263434330	0.000	48000.000	06-C03-18-01	a	2018
16	Waveform 1	1	20.270542681	20.270542681	0.000	48000.000	06-C03-18-01	a	2018
17	Waveform 1	1	20.279203653	20.279203653	0.000	48000.000	06-C03-18-01	a	2018
18	Waveform 1	1	20.289962612	20.289962612	0.000	48000.000	06-C03-18-01	a	2018
19	Waveform 1	1	20.596006825	20.596006825	0.000	48000.000	06-C03-18-01	b	2018
20	Waveform 1	1	20.601734921	20.601734921	0.000	48000.000	06-C03-18-01	b	2018
21	Waveform 1	1	20.609429918	20.609429918	0.000	48000.000	06-C03-18-01	b	2018
22	Waveform 1	1	20.619029666	20.619029666	0.000	48000.000	06-C03-18-01	b	2018
23	Waveform 1	1	20.625151135	20.625151135	0.000	48000.000	06-C03-18-01	b	2018
24	Waveform 1	1	20.633439604	20.633439604	0.000	48000.000	06-C03-18-01	b	2018
25	Waveform 1	1	20.643791388	20.643791388	0.000	48000.000	06-C03-18-01	b	2018
26	Waveform 1	1	20.649436668	20.649436668	0.000	48000.000	06-C03-18-01	b	2018
27	Waveform 1	1	20.658622340	20.658622340	0.000	48000.000	06-C03-18-01	b	2018
28	Waveform 1	1	20.668194484	20.668194484	0.000	48000.000	06-C03-18-01	b	2018
29	Waveform 1	1	20.674198630	20.674198630	0.000	48000.000	06-C03-18-01	b	2018
30	Waveform 1	1	20.684026121	20.684026121	0.000	48000.000	06-C03-18-01	b	2018
31	Waveform 1	1	20.690637580	20.690637580	0.000	48000.000	06-C03-18-01	b	2018
32	Waveform 1	1	20.697897759	20.697897759	0.000	48000.000	06-C03-18-01	b	2018
33	Waveform 1	1	20.708325660	20.708325660	0.000	48000.000	06-C03-18-01	b	2018
34	Waveform 1	1	20.714564451	20.714564451	0.000	48000.000	06-C03-18-01	b	2018
35	Waveform 1	1	20.723729419	20.723729419	0.000	48000.000	06-C03-18-01	b	2018
36	Waveform 1	1	20.732411260	20.732411260	0.000	48000.000	06-C03-18-01	b	2018
37	Waveform 1	1	20.739063961	20.739063961	0.000	48000.000	06-C03-18-01	b	2018
38	Waveform 1	1	20.749015675	20.749015675	0.000	48000.000	06-C03-18-01	b	2018
39	Waveform 1	1	20.758104488	20.758104488	0.000	48000.000	06-C03-18-01	b	2018
40	Waveform 1	1	20.768497680	20.768497680	0.000	48000.000	06-C03-18-01	b	2018
41	Waveform 1	1	21.498124406	21.498124406	0.000	48000.000	06-C03-18-01	c	2018
42	Waveform 1	1	21.504066441	21.504066441	0.000	48000.000	06-C03-18-01	c	2018
43	Waveform 1	1	21.511519713	21.511519713	0.000	48000.000	06-C03-18-01	c	2018
44	Waveform 1	1	21.521119462	21.521119462	0.000	48000.000	06-C03-18-01	c	2018
45	Waveform 1	1	21.528641926	21.528641926	0.000	48000.000	06-C03-18-01	c	2018
46	Waveform 1	1	21.536654344	21.536654344	0.000	48000.000	06-C03-18-01	c	2018
47	Waveform 1	1	21.547020134	21.547020134	0.000	48000.000	06-C03-18-01	c	2018
48	Waveform 1	1	21.552872250	21.552872250	0.000	48000.000	06-C03-18-01	c	2018
49	Waveform 1	1	21.561561030	21.561561030	0.000	48000.000	06-C03-18-01	c	2018
50	Waveform 1	1	21.572009432	21.572009432	0.000	48000.000	06-C03-18-01	c	2018
51	Waveform 1	1	21.577875553	21.577875553	0.000	48000.000	06-C03-18-01	c	2018
52	Waveform 1	1	21.587295831	21.587295831	0.000	48000.000	06-C03-18-01	c	2018
53	Waveform 1	1	21.595832580	21.595832580	0.000	48000.000	06-C03-18-01	c	2018
54	Waveform 1	1	21.602450941	21.602450941	0.000	48000.000	06-C03-18-01	c	2018
55	Waveform 1	1	21.612678299	21.612678299	0.000	48000.000	06-C03-18-01	c	2018
56	Waveform 1	1	21.619800452	21.619800452	0.000	48000.000	06-C03-18-01	c	2018
57	Waveform 1	1	21.628868599	21.628868599	0.000	48000.000	06-C03-18-01	c	2018
58	Waveform 1	1	21.639627762	21.639627762	0.000	48000.000	06-C03-18-01	c	2018
59	Waveform 1	1	21.999947868	21.999947868	0.000	48000.000	06-C03-18-01	d	2018
60	Waveform 1	1	22.005800187	22.005800187	0.000	48000.000	06-C03-18-01	d	2018
61	Waveform 1	1	22.013550356	22.013550356	0.000	48000.000	06-C03-18-01	d	2018
62	Waveform 1	1	22.023260525	22.023260525	0.000	48000.000	06-C03-18-01	d	2018
63	Waveform 1	1	22.029388895	22.029388895	0.000	48000.000	06-C03-18-01	d	2018
64	Waveform 1	1	22.037691001	22.037697902	0.000	48000.000	06-C03-18-01	d	2018
65	Waveform 1	1	22.048160310	22.048160310	0.000	48000.000	06-C03-18-01	d	2018
66	Waveform 1	1	22.054026228	22.054026228	0.000	48000.000	06-C03-18-01	d	2018
67	Waveform 1	1	22.063080738	22.063080738	0.000	48000.000	06-C03-18-01	d	2018
