Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	91.236706146	91.236706146	0.0	48000.0	08-C03-18-04	a	2018
2	Waveform 1	1	91.243218818	91.243218818	0.0	48000.0	08-C03-28-04	a	2018
3	Waveform 1	1	91.251545810	91.251545810	0.0	48000.0	08-C03-28-04	a	2018
4	Waveform 1	1	91.262026890	91.262026890	0.0	48000.0	08-C03-28-04	a	2018
5	Waveform 1	1	91.269568491	91.269568491	0.0	48000.0	08-C03-28-04	a	2018
6	Waveform 1	1	91.279287143	91.279287143	0.0	48000.0	08-C03-28-04	a	2018
7	Waveform 1	1	91.289492649	91.289492649	0.0	48000.0	08-C03-28-04	a	2018
8	Waveform 1	1	91.297925278	91.297925278	0.0	48000.0	08-C03-28-04	a	2018
9	Waveform 1	1	91.308296127	91.308296127	0.0	48000.0	08-C03-28-04	a	2018
10	Waveform 1	1	91.316563413	91.316563413	0.0	48000.0	08-C03-28-04	a	2018
11	Waveform 1	1	91.326713801	91.326713801	0.0	48000.0	08-C03-28-04	a	2018
12	Waveform 1	1	91.336584020	91.336584020	0.0	48000.0	08-C03-28-04	a	2018
13	Waveform 1	1	91.345783672	91.345783672	0.0	48000.0	08-C03-28-04	a	2018
14	Waveform 1	1	91.357266013	91.357266013	0.0	48000.0	08-C03-28-04	a	2018
15	Waveform 1	1	91.367361286	91.367361286	0.0	48000.0	08-C03-28-04	a	2018
16	Waveform 1	1	91.727912027	91.727912027	0.0	48000.0	08-C03-28-04	b	2018
17	Waveform 1	1	91.734466148	91.734466148	0.0	48000.0	08-C03-28-04	b	2018
18	Waveform 1	1	91.742962968	91.742962968	0.0	48000.0	08-C03-28-04	b	2018
19	Waveform 1	1	91.753324631	91.753324631	0.0	48000.0	08-C03-28-04	b	2018
20	Waveform 1	1	91.760884604	91.760884604	0.0	48000.0	08-C03-28-04	b	2018
21	Waveform 1	1	91.770832903	91.770832903	0.0	48000.0	08-C03-28-04	b	2018
22	Waveform 1	1	91.780184120	91.780188713	0.0	48000.0	08-C03-28-04	b	2018
23	Waveform 1	1	91.788644309	91.788644309	0.0	48000.0	08-C03-28-04	b	2018
24	Waveform 1	1	91.799598461	91.799598461	0.0	48000.0	08-C03-28-04	b	2018
25	Waveform 1	1	91.807411046	91.807411046	0.0	48000.0	08-C03-28-04	b	2018
26	Waveform 1	1	91.817386903	91.817386903	0.0	48000.0	08-C03-28-04	b	2018
27	Waveform 1	1	91.826035402	91.826035402	0.0	48000.0	08-C03-28-04	b	2018
28	Waveform 1	1	91.835193716	91.835193716	0.0	48000.0	08-C03-28-04	b	2018
29	Waveform 1	1	91.845844734	91.845844734	0.0	48000.0	08-C03-28-04	b	2018
30	Waveform 1	1	91.854479455	91.854479455	0.0	48000.0	08-C03-28-04	b	2018
31	Waveform 1	1	91.864326709	91.864326709	0.0	48000.0	08-C03-28-04	b	2018
32	Waveform 1	1	91.873912166	91.873912166	0.0	48000.0	08-C03-28-04	b	2018
33	Waveform 1	1	91.886579485	91.886584078	0.0	48000.0	08-C03-28-04	b	2018
34	Waveform 1	1	92.592954531	92.592954531	0.0	48000.0	08-C03-28-04	c	2018
35	Waveform 1	1	92.599407606	92.599407606	0.0	48000.0	08-C03-28-04	c	2018
36	Waveform 1	1	92.607766750	92.607771343	0.0	48000.0	08-C03-28-04	c	2018
37	Waveform 1	1	92.618178936	92.618178936	0.0	48000.0	08-C03-28-04	c	2018
38	Waveform 1	1	92.625945591	92.625945591	0.0	48000.0	08-C03-28-04	c	2018
39	Waveform 1	1	92.635719358	92.635719358	0.0	48000.0	08-C03-28-04	c	2018
40	Waveform 1	1	92.645750330	92.645750330	0.0	48000.0	08-C03-28-04	c	2018
41	Waveform 1	1	92.654325342	92.654325342	0.0	48000.0	08-C03-28-04	c	2018
42	Waveform 1	1	92.665160079	92.665160079	0.0	48000.0	08-C03-28-04	c	2018
43	Waveform 1	1	92.673096672	92.673096672	0.0	48000.0	08-C03-28-04	c	2018
44	Waveform 1	1	92.683237875	92.683237875	0.0	48000.0	08-C03-28-04	c	2018
45	Waveform 1	1	92.692781996	92.692781996	0.0	48000.0	08-C03-28-04	c	2018
46	Waveform 1	1	92.702004612	92.702004612	0.0	48000.0	08-C03-28-04	c	2018
47	Waveform 1	1	92.713606367	92.713606367	0.0	48000.0	08-C03-28-04	c	2018
48	Waveform 1	1	92.724408953	92.724408953	0.0	48000.0	08-C03-28-04	c	2018
49	Waveform 1	1	93.084537974	93.084537974	0.0	48000.0	08-C03-28-04	d	2018
50	Waveform 1	1	93.091046868	93.091046868	0.0	48000.0	08-C03-28-04	d	2018
51	Waveform 1	1	93.099703194	93.099703194	0.0	48000.0	08-C03-28-04	d	2018
52	Waveform 1	1	93.110212892	93.110212892	0.0	48000.0	08-C03-28-04	d	2018
53	Waveform 1	1	93.117925885	93.117925885	0.0	48000.0	08-C03-28-04	d	2018
54	Waveform 1	1	93.127975014	93.127975014	0.0	48000.0	08-C03-28-04	d	2018
55	Waveform 1	1	93.137169523	93.137169523	0.0	48000.0	08-C03-28-04	d	2018
56	Waveform 1	1	93.146225378	93.146225378	0.0	48000.0	08-C03-28-04	d	2018
57	Waveform 1	1	93.157101311	93.157101311	0.0	48000.0	08-C03-28-04	d	2018
58	Waveform 1	1	93.165180539	93.165180539	0.0	48000.0	08-C03-28-04	d	2018
59	Waveform 1	1	93.175634747	93.175634747	0.0	48000.0	08-C03-28-04	d	2018
60	Waveform 1	1	93.183836053	93.183836053	0.0	48000.0	08-C03-28-04	d	2018
61	Waveform 1	1	93.193707542	93.193707542	0.0	48000.0	08-C03-28-04	d	2018
62	Waveform 1	1	93.204106259	93.204106259	0.0	48000.0	08-C03-28-04	d	2018
63	Waveform 1	1	93.212823624	93.212823624	0.0	48000.0	08-C03-28-04	d	2018
64	Waveform 1	1	93.223399838	93.223399838	0.0	48000.0	08-C03-28-04	d	2018
65	Waveform 1	1	93.232932909	93.232932909	0.0	48000.0	08-C03-28-04	d	2018
66	Waveform 1	1	93.946569195	93.946569195	0.0	48000.0	08-C03-28-04	e	2018
67	Waveform 1	1	93.953067024	93.953067024	0.0	48000.0	08-C03-28-04	e	2018
68	Waveform 1	1	93.961440350	93.961440350	0.0	48000.0	08-C03-28-04	e	2018
69	Waveform 1	1	93.971938878	93.971938878	0.0	48000.0	08-C03-28-04	e	2018
