Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	20.09325243	20.09325243	0	48000	2-C45-19-02	a	2019
2	Waveform 1	1	20.09950375	20.09950375	0	48000	2-C45-19-02	a	2019
3	Waveform 1	1	20.10755595	20.10755595	0	48000	2-C45-19-02	a	2019
4	Waveform 1	1	20.11821625	20.11821625	0	48000	2-C45-19-02	a	2019
5	Waveform 1	1	20.12502646	20.12502646	0	48000	2-C45-19-02	a	2019
6	Waveform 1	1	20.13419649	20.13419649	0	48000	2-C45-19-02	a	2019
7	Waveform 1	1	20.14462916	20.14462916	0	48000	2-C45-19-02	a	2019
8	Waveform 1	1	20.15185594	20.15185594	0	48000	2-C45-19-02	a	2019
9	Waveform 1	1	20.16272847	20.16272847	0	48000	2-C45-19-02	a	2019
10	Waveform 1	1	20.16930334	20.16930334	0	48000	2-C45-19-02	a	2019
11	Waveform 1	1	20.17892872	20.17892872	0	48000	2-C45-19-02	a	2019
12	Waveform 1	1	20.18929933	20.18929933	0	48000	2-C45-19-02	a	2019
13	Waveform 1	1	20.19830372	20.19830372	0	48000	2-C45-19-02	a	2019
14	Waveform 1	1	20.21062011	20.21062011	0	48000	2-C45-19-02	a	2019
15	Waveform 1	1	20.5743358	20.5743358	0	48000	2-C45-19-02	b	2019
16	Waveform 1	1	20.58019388	20.58019388	0	48000	2-C45-19-02	b	2019
17	Waveform 1	1	20.58824608	20.58824608	0	48000	2-C45-19-02	b	2019
18	Waveform 1	1	20.59888579	20.59888579	0	48000	2-C45-19-02	b	2019
19	Waveform 1	1	20.6055563	20.6055563	0	48000	2-C45-19-02	b	2019
20	Waveform 1	1	20.6148247	20.6148247	0	48000	2-C45-19-02	b	2019
21	Waveform 1	1	20.62469853	20.62469853	0	48000	2-C45-19-02	b	2019
22	Waveform 1	1	20.63204693	20.63204693	0	48000	2-C45-19-02	b	2019
23	Waveform 1	1	20.64299714	20.64299714	0	48000	2-C45-19-02	b	2019
24	Waveform 1	1	20.64957966	20.64957966	0	48000	2-C45-19-02	b	2019
25	Waveform 1	1	20.65930858	20.65930858	0	48000	2-C45-19-02	b	2019
26	Waveform 1	1	20.66688363	20.66688363	0	48000	2-C45-19-02	b	2019
