Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	69.8757216	69.8757216	0	22050	33-C45-19-05	a	2019
2	Waveform 1	1	69.8827975	69.8827975	0	22050	33-C45-19-05	a	2019
3	Waveform 1	1	69.89170523	69.89170523	0	22050	33-C45-19-05	a	2019
4	Waveform 1	1	69.90201377	69.90201377	0	22050	33-C45-19-05	a	2019
5	Waveform 1	1	69.90973619	69.90973619	0	22050	33-C45-19-05	a	2019
6	Waveform 1	1	69.91950589	69.91950589	0	22050	33-C45-19-05	a	2019
7	Waveform 1	1	69.92834337	69.92834337	0	22050	33-C45-19-05	a	2019
8	Waveform 1	1	69.93669925	69.93669925	0	22050	33-C45-19-05	a	2019
9	Waveform 1	1	69.94767121	69.94767121	0	22050	33-C45-19-05	a	2019
10	Waveform 1	1	69.95498575	69.95498575	0	22050	33-C45-19-05	a	2019
11	Waveform 1	1	69.96423064	69.96423064	0	22050	33-C45-19-05	a	2019
12	Waveform 1	1	69.9741104	69.9741104	0	22050	33-C45-19-05	a	2019
13	Waveform 1	1	69.98203459	69.98203459	0	22050	33-C45-19-05	a	2019
14	Waveform 1	1	69.99260017	69.99260017	0	22050	33-C45-19-05	a	2019
15	Waveform 1	1	70.00138795	70.00138795	0	22050	33-C45-19-05	a	2019
16	Waveform 1	1	70.01205513	70.01205513	0	22050	33-C45-19-05	a	2019
17	Waveform 1	1	70.38129223	70.38129223	0	22050	33-C45-19-05	b	2019
18	Waveform 1	1	70.38860687	70.38860687	0	22050	33-C45-19-05	b	2019
19	Waveform 1	1	70.39764857	70.39764857	0	22050	33-C45-19-05	b	2019
20	Waveform 1	1	70.40788404	70.40788404	0	22050	33-C45-19-05	b	2019
21	Waveform 1	1	70.41547806	70.41547806	0	22050	33-C45-19-05	b	2019
22	Waveform 1	1	70.42548495	70.42548495	0	22050	33-C45-19-05	b	2019
23	Waveform 1	1	70.43358692	70.43358692	0	22050	33-C45-19-05	b	2019
24	Waveform 1	1	70.44217146	70.44217146	0	22050	33-C45-19-05	b	2019
25	Waveform 1	1	70.45309268	70.45309268	0	22050	33-C45-19-05	b	2019
26	Waveform 1	1	70.46022953	70.46022953	0	22050	33-C45-19-05	b	2019
27	Waveform 1	1	70.46962687	70.46962687	0	22050	33-C45-19-05	b	2019
28	Waveform 1	1	70.47887175	70.47887175	0	22050	33-C45-19-05	b	2019
29	Waveform 1	1	70.48669441	70.48669441	0	22050	33-C45-19-05	b	2019
30	Waveform 1	1	70.49685363	70.49685363	0	22050	33-C45-19-05	b	2019
31	Waveform 1	1	70.50460003	70.50460003	0	22050	33-C45-19-05	b	2019
32	Waveform 1	1	70.51366705	70.51366705	0	22050	33-C45-19-05	b	2019
33	Waveform 1	1	70.52484219	70.52484219	0	22050	33-C45-19-05	b	2019
34	Waveform 1	1	70.53510306	70.53510306	0	22050	33-C45-19-05	b	2019
35	Waveform 1	1	70.97324488	70.97324488	0	22050	33-C45-19-05	c	2019
36	Waveform 1	1	70.98066111	70.98066111	0	22050	33-C45-19-05	c	2019
37	Waveform 1	1	70.98967747	70.98967747	0	22050	33-C45-19-05	c	2019
38	Waveform 1	1	70.99963351	70.99963351	0	22050	33-C45-19-05	c	2019
39	Waveform 1	1	71.00750696	71.00750696	0	22050	33-C45-19-05	c	2019
40	Waveform 1	1	71.01771697	71.01771697	0	22050	33-C45-19-05	c	2019
41	Waveform 1	1	71.02561582	71.02561582	0	22050	33-C45-19-05	c	2019
42	Waveform 1	1	71.03430195	71.03430195	0	22050	33-C45-19-05	c	2019
43	Waveform 1	1	71.04522311	71.04522311	0	22050	33-C45-19-05	c	2019
44	Waveform 1	1	71.05241082	71.05241082	0	22050	33-C45-19-05	c	2019
45	Waveform 1	1	71.06236685	71.06236685	0	22050	33-C45-19-05	c	2019
46	Waveform 1	1	71.07166259	71.07166259	0	22050	33-C45-19-05	c	2019
47	Waveform 1	1	71.07953599	71.07953599	0	22050	33-C45-19-05	c	2019
48	Waveform 1	1	71.09020322	71.09020322	0	22050	33-C45-19-05	c	2019
49	Waveform 1	1	71.09868617	71.09868617	0	22050	33-C45-19-05	c	2019
50	Waveform 1	1	71.10889618	71.10889618	0	22050	33-C45-19-05	c	2019
51	Waveform 1	1	73.19875571	73.19875571	0	22050	33-C45-19-05	d	2019
52	Waveform 1	1	73.20580441	73.20580441	0	22050	33-C45-19-05	d	2019
53	Waveform 1	1	73.21456116	73.21456116	0	22050	33-C45-19-05	d	2019
54	Waveform 1	1	73.22488155	73.22488155	0	22050	33-C45-19-05	d	2019
55	Waveform 1	1	73.23243545	73.23243545	0	22050	33-C45-19-05	d	2019
56	Waveform 1	1	73.24241911	73.24241911	0	22050	33-C45-19-05	d	2019
57	Waveform 1	1	73.25107956	73.25107956	0	22050	33-C45-19-05	d	2019
58	Waveform 1	1	73.25937923	73.25937923	0	22050	33-C45-19-05	d	2019
59	Waveform 1	1	73.27030103	73.27030103	0	22050	33-C45-19-05	d	2019
60	Waveform 1	1	73.27737379	73.27737379	0	22050	33-C45-19-05	d	2019
61	Waveform 1	1	73.28682826	73.28682826	0	22050	33-C45-19-05	d	2019
62	Waveform 1	1	73.29676381	73.29676381	0	22050	33-C45-19-05	d	2019
63	Waveform 1	1	73.30453414	73.30453414	0	22050	33-C45-19-05	d	2019
64	Waveform 1	1	73.31523951	73.31523951	0	22050	33-C45-19-05	d	2019
65	Waveform 1	1	73.32365953	73.32365953	0	22050	33-C45-19-05	d	2019
66	Waveform 1	1	73.33364319	73.33364319	0	22050	33-C45-19-05	d	2019
67	Waveform 1	1	73.70658077	73.70658077	0	22050	33-C45-19-05	e	2019
68	Waveform 1	1	73.7140961	73.7140961	0	22050	33-C45-19-05	e	2019
69	Waveform 1	1	73.7231145	73.7231145	0	22050	33-C45-19-05	e	2019
70	Waveform 1	1	73.7333734	73.7333734	0	22050	33-C45-19-05	e	2019
71	Waveform 1	1	73.74098416	73.74098416	0	22050	33-C45-19-05	e	2019
72	Waveform 1	1	73.75076602	73.75076602	0	22050	33-C45-19-05	e	2019
73	Waveform 1	1	73.75930725	73.75930725	0	22050	33-C45-19-05	e	2019
74	Waveform 1	1	73.76746675	73.76746675	0	22050	33-C45-19-05	e	2019
75	Waveform 1	1	73.77844152	73.77844152	0	22050	33-C45-19-05	e	2019
76	Waveform 1	1	73.78583756	73.78583756	0	22050	33-C45-19-05	e	2019
77	Waveform 1	1	73.7952854	73.79530926	0	22050	33-C45-19-05	e	2019
78	Waveform 1	1	73.80420837	73.80420837	0	22050	33-C45-19-05	e	2019
79	Waveform 1	1	73.81277331	73.81277331	0	22050	33-C45-19-05	e	2019
80	Waveform 1	1	73.82260289	73.82260289	0	22050	33-C45-19-05	e	2019
81	Waveform 1	1	73.83026107	73.83026107	0	22050	33-C45-19-05	e	2019
82	Waveform 1	1	73.83942262	73.83942262	0	22050	33-C45-19-05	e	2019
83	Waveform 1	1	73.84972936	73.84972936	0	22050	33-C45-19-05	e	2019
84	Waveform 1	1	73.85977365	73.85977365	0	22050	33-C45-19-05	e	2019
