Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	20.0552327	20.0552327	0	48000	8-C24-19-01	a	2019
2	Waveform 1	1	20.06203305	20.06203305	0	48000	8-C24-19-01	a	2019
3	Waveform 1	1	20.07036528	20.07036528	0	48000	8-C24-19-01	a	2019
4	Waveform 1	1	20.08096509	20.08096509	0	48000	8-C24-19-01	a	2019
5	Waveform 1	1	20.08939753	20.08939753	0	48000	8-C24-19-01	a	2019
6	Waveform 1	1	20.09775466	20.09775466	0	48000	8-C24-19-01	a	2019
7	Waveform 1	1	20.10923775	20.10923775	0	48000	8-C24-19-01	a	2019
8	Waveform 1	1	20.11737782	20.11737782	0	48000	8-C24-19-01	a	2019
9	Waveform 1	1	20.12600012	20.12600012	0	48000	8-C24-19-01	a	2019
10	Waveform 1	1	20.13771341	20.13771341	0	48000	8-C24-19-01	a	2019
11	Waveform 1	1	20.14588429	20.14588429	0	48000	8-C24-19-01	a	2019
12	Waveform 1	1	20.15511595	20.15511595	0	48000	8-C24-19-01	a	2019
13	Waveform 1	1	20.16733569	20.16733569	0	48000	8-C24-19-01	a	2019
14	Waveform 1	1	20.17732899	20.17732899	0	48000	8-C24-19-01	a	2019
15	Waveform 1	1	20.1899337	20.1899337	0	48000	8-C24-19-01	a	2019
16	Waveform 1	1	20.60524376	20.60524376	0	48000	8-C24-19-01	b	2019
17	Waveform 1	1	20.61196245	20.61196245	0	48000	8-C24-19-01	b	2019
18	Waveform 1	1	20.62015007	20.62015007	0	48000	8-C24-19-01	b	2019
19	Waveform 1	1	20.63078583	20.63078583	0	48000	8-C24-19-01	b	2019
20	Waveform 1	1	20.63930958	20.63930958	0	48000	8-C24-19-01	b	2019
21	Waveform 1	1	20.64743932	20.64743932	0	48000	8-C24-19-01	b	2019
22	Waveform 1	1	20.65850394	20.65850394	0	48000	8-C24-19-01	b	2019
23	Waveform 1	1	20.66729	20.66729	0	48000	8-C24-19-01	b	2019
24	Waveform 1	1	20.67536882	20.67536882	0	48000	8-C24-19-01	b	2019
25	Waveform 1	1	20.68660294	20.68660294	0	48000	8-C24-19-01	b	2019
26	Waveform 1	1	20.6954706	20.6954706	0	48000	8-C24-19-01	b	2019
27	Waveform 1	1	20.70395738	20.70395738	0	48000	8-C24-19-01	b	2019
28	Waveform 1	1	20.71524596	20.71524596	0	48000	8-C24-19-01	b	2019
29	Waveform 1	1	20.72435844	20.72435844	0	48000	8-C24-19-01	b	2019
30	Waveform 1	1	20.73366126	20.73366126	0	48000	8-C24-19-01	b	2019
31	Waveform 1	1	20.74620111	20.74620111	0	48000	8-C24-19-01	b	2019
32	Waveform 1	1	20.75863209	20.75863209	0	48000	8-C24-19-01	b	2019
33	Waveform 1	1	21.41505479	21.41505479	0	48000	8-C24-19-01	c	2019
34	Waveform 1	1	21.42193675	21.42193675	0	48000	8-C24-19-01	c	2019
35	Waveform 1	1	21.43028759	21.43028759	0	48000	8-C24-19-01	c	2019
36	Waveform 1	1	21.44105928	21.44105928	0	48000	8-C24-19-01	c	2019
37	Waveform 1	1	21.44932851	21.44932851	0	48000	8-C24-19-01	c	2019
38	Waveform 1	1	21.45783153	21.45783153	0	48000	8-C24-19-01	c	2019
39	Waveform 1	1	21.46917977	21.46917977	0	48000	8-C24-19-01	c	2019
40	Waveform 1	1	21.47725822	21.47725822	0	48000	8-C24-19-01	c	2019
41	Waveform 1	1	21.48556744	21.48556744	0	48000	8-C24-19-01	c	2019
42	Waveform 1	1	21.49691573	21.49691573	0	48000	8-C24-19-01	c	2019
43	Waveform 1	1	21.505475	21.505475	0	48000	8-C24-19-01	c	2019
44	Waveform 1	1	21.51413048	21.51413048	0	48000	8-C24-19-01	c	2019
45	Waveform 1	1	21.52584422	21.52584422	0	48000	8-C24-19-01	c	2019
46	Waveform 1	1	21.53617304	21.53617304	0	48000	8-C24-19-01	c	2019
47	Waveform 1	1	21.54667502	21.54667502	0	48000	8-C24-19-01	c	2019
48	Waveform 1	1	21.95919438	21.95919438	0	48000	8-C24-19-01	d	2019
49	Waveform 1	1	21.96590703	21.96590703	0	48000	8-C24-19-01	d	2019
50	Waveform 1	1	21.97410084	21.97412007	0	48000	8-C24-19-01	d	2019
51	Waveform 1	1	21.98473746	21.98473746	0	48000	8-C24-19-01	d	2019
52	Waveform 1	1	21.99287357	21.99287357	0	48000	8-C24-19-01	d	2019
53	Waveform 1	1	22.00120207	22.00120207	0	48000	8-C24-19-01	d	2019
54	Waveform 1	1	22.01245419	22.01245419	0	48000	8-C24-19-01	d	2019
55	Waveform 1	1	22.02055183	22.02055183	0	48000	8-C24-19-01	d	2019
56	Waveform 1	1	22.02893804	22.02893804	0	48000	8-C24-19-01	d	2019
57	Waveform 1	1	22.04043518	22.04043518	0	48000	8-C24-19-01	d	2019
58	Waveform 1	1	22.04844167	22.04844167	0	48000	8-C24-19-01	d	2019
59	Waveform 1	1	22.05723175	22.05723175	0	48000	8-C24-19-01	d	2019
60	Waveform 1	1	22.06865697	22.06865697	0	48000	8-C24-19-01	d	2019
61	Waveform 1	1	22.07696624	22.07696624	0	48000	8-C24-19-01	d	2019
62	Waveform 1	1	22.08610254	22.08610254	0	48000	8-C24-19-01	d	2019
63	Waveform 1	1	22.09877799	22.09877799	0	48000	8-C24-19-01	d	2019
64	Waveform 1	1	22.11193431	22.11193431	0	48000	8-C24-19-01	d	2019
65	Waveform 1	1	22.68254075	22.68254075	0	48000	8-C24-19-01	e	2019
66	Waveform 1	1	22.68934969	22.68934969	0	48000	8-C24-19-01	e	2019
67	Waveform 1	1	22.6977936	22.6977936	0	48000	8-C24-19-01	e	2019
68	Waveform 1	1	22.70844941	22.70844941	0	48000	8-C24-19-01	e	2019
69	Waveform 1	1	22.71652786	22.71652786	0	48000	8-C24-19-01	e	2019
70	Waveform 1	1	22.7249333	22.7249333	0	48000	8-C24-19-01	e	2019
71	Waveform 1	1	22.73616614	22.73616614	0	48000	8-C24-19-01	e	2019
72	Waveform 1	1	22.74470622	22.74470622	0	48000	8-C24-19-01	e	2019
73	Waveform 1	1	22.75324625	22.75324625	0	48000	8-C24-19-01	e	2019
74	Waveform 1	1	22.76478688	22.76478688	0	48000	8-C24-19-01	e	2019
75	Waveform 1	1	22.77296146	22.77296146	0	48000	8-C24-19-01	e	2019
76	Waveform 1	1	22.78155924	22.78155924	0	48000	8-C24-19-01	e	2019
77	Waveform 1	1	22.79340762	22.79340762	0	48000	8-C24-19-01	e	2019
