Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	45.433208958	45.433208958	0.0	48000.0	21-C24-20-03	a	2020
2	Waveform 1	1	45.440255792	45.440255792	0.0	48000.0	21-C24-20-03	a	2020
3	Waveform 1	1	45.449362679	45.449362679	0.0	48000.0	21-C24-20-03	a	2020
4	Waveform 1	1	45.460004800	45.460004800	0.0	48000.0	21-C24-20-03	a	2020
5	Waveform 1	1	45.467446917	45.467446917	0.0	48000.0	21-C24-20-03	a	2020
6	Waveform 1	1	45.477905379	45.477905379	0.0	48000.0	21-C24-20-03	a	2020
7	Waveform 1	1	45.486257568	45.486257568	0.0	48000.0	21-C24-20-03	a	2020
8	Waveform 1	1	45.494675707	45.494675707	0.0	48000.0	21-C24-20-03	a	2020
9	Waveform 1	1	45.505772864	45.505772864	0.0	48000.0	21-C24-20-03	a	2020
10	Waveform 1	1	45.513082697	45.513082697	0.0	48000.0	21-C24-20-03	a	2020
11	Waveform 1	1	45.523651425	45.523651425	0.0	48000.0	21-C24-20-03	a	2020
12	Waveform 1	1	45.531680685	45.531680685	0.0	48000.0	21-C24-20-03	a	2020
13	Waveform 1	1	45.540730003	45.540730003	0.0	48000.0	21-C24-20-03	a	2020
14	Waveform 1	1	45.550351890	45.550351890	0.0	48000.0	21-C24-20-03	a	2020
15	Waveform 1	1	45.558219686	45.558219686	0.0	48000.0	21-C24-20-03	a	2020
16	Waveform 1	1	45.568347880	45.568347880	0.0	48000.0	21-C24-20-03	a	2020
17	Waveform 1	1	45.578468911	45.578468911	0.0	48000.0	21-C24-20-03	a	2020
18	Waveform 1	1	45.592156840	45.592156840	0.0	48000.0	21-C24-20-03	a	2020
19	Waveform 1	1	45.928842330	45.928842330	0.0	48000.0	21-C24-20-03	b	2020
20	Waveform 1	1	45.935726660	45.935726660	0.0	48000.0	21-C24-20-03	b	2020
21	Waveform 1	1	45.945025691	45.945025691	0.0	48000.0	21-C24-20-03	b	2020
22	Waveform 1	1	45.955902421	45.955902421	0.0	48000.0	21-C24-20-03	b	2020
23	Waveform 1	1	45.963249022	45.963249022	0.0	48000.0	21-C24-20-03	b	2020
24	Waveform 1	1	45.973832429	45.973832429	0.0	48000.0	21-C24-20-03	b	2020
25	Waveform 1	1	45.981568117	45.981568117	0.0	48000.0	21-C24-20-03	b	2020
26	Waveform 1	1	45.990448736	45.990448736	0.0	48000.0	21-C24-20-03	b	2020
27	Waveform 1	1	46.001208286	46.001208286	0.0	48000.0	21-C24-20-03	b	2020
28	Waveform 1	1	46.008760139	46.008760139	0.0	48000.0	21-C24-20-03	b	2020
29	Waveform 1	1	46.019497671	46.019497671	0.0	48000.0	21-C24-20-03	b	2020
30	Waveform 1	1	46.026917770	46.026917770	0.0	48000.0	21-C24-20-03	b	2020
31	Waveform 1	1	46.036928711	46.036928711	0.0	48000.0	21-C24-20-03	b	2020
32	Waveform 1	1	46.045001831	46.045001831	0.0	48000.0	21-C24-20-03	b	2020
33	Waveform 1	1	46.053985272	46.053985272	0.0	48000.0	21-C24-20-03	b	2020
34	Waveform 1	1	46.062997821	46.062997821	0.0	48000.0	21-C24-20-03	b	2020
35	Waveform 1	1	46.071350082	46.071350082	0.0	48000.0	21-C24-20-03	b	2020
