Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	27.726917949	27.726917949	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
2	Waveform 1	2	27.733818121	27.733818121	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
3	Waveform 1	2	27.742902098	27.742902098	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
4	Waveform 1	2	27.753426200	27.753426200	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
5	Waveform 1	2	27.761543542	27.761543542	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
6	Waveform 1	2	27.772439597	27.772439597	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
7	Waveform 1	2	27.779426492	27.779426492	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
8	Waveform 1	2	27.789447362	27.789447362	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
9	Waveform 1	2	27.799993344	27.799993344	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
10	Waveform 1	2	27.807585575	27.807585575	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
11	Waveform 1	2	27.818693134	27.818693134	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
12	Waveform 1	2	27.826555214	27.826555214	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
13	Waveform 1	2	27.836495859	27.836495859	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
14	Waveform 1	2	27.844613202	27.844613202	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
15	Waveform 1	2	27.854495501	27.854495501	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
16	Waveform 1	2	27.866113585	27.866113585	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
17	Waveform 1	2	27.876280319	27.876280319	0.0	48000.0	12-CottageRowe-Unconfirmed	a	2021
18	Waveform 1	2	28.151584404	28.151584404	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
19	Waveform 1	2	28.158680697	28.158680697	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
20	Waveform 1	2	28.168701567	28.168701567	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
21	Waveform 1	2	28.178248379	28.178248379	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
22	Waveform 1	2	28.186467827	28.186467827	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
23	Waveform 1	2	28.198158842	28.198158842	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
24	Waveform 1	2	28.205539570	28.205539570	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
25	Waveform 1	2	28.215049916	28.215049916	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
26	Waveform 1	2	28.222795305	28.222795305	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
27	Waveform 1	2	28.232006629	28.232006629	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
28	Waveform 1	2	28.242953737	28.242953737	0.0	48000.0	12-CottageRowe-Unconfirmed	b	2021
