Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	20.949438091	20.949438091	0.000	48000.000	13-C03-21-03	a	2021
2	Waveform 1	1	20.956309676	20.956309676	0.000	48000.000	13-C03-21-03	a	2021
3	Waveform 1	1	20.964893219	20.964893219	0.000	48000.000	13-C03-21-03	a	2021
4	Waveform 1	1	20.976238815	20.976238815	0.000	48000.000	13-C03-21-03	a	2021
5	Waveform 1	1	20.984288158	20.984288158	0.000	48000.000	13-C03-21-03	a	2021
6	Waveform 1	1	20.994213270	20.994213270	0.000	48000.000	13-C03-21-03	a	2021
7	Waveform 1	1	21.006214474	21.006214474	0.000	48000.000	13-C03-21-03	a	2021
8	Waveform 1	1	21.014269888	21.014269888	0.000	48000.000	13-C03-21-03	a	2021
9	Waveform 1	1	21.025536416	21.025536416	0.000	48000.000	13-C03-21-03	a	2021
10	Waveform 1	1	21.033962127	21.033962127	0.000	48000.000	13-C03-21-03	a	2021
11	Waveform 1	1	21.044178620	21.044178620	0.000	48000.000	13-C03-21-03	a	2021
12	Waveform 1	1	21.056179790	21.056179790	0.000	48000.000	13-C03-21-03	a	2021
13	Waveform 1	1	21.065182193	21.065182193	0.000	48000.000	13-C03-21-03	a	2021
14	Waveform 1	1	21.077675103	21.077675103	0.000	48000.000	13-C03-21-03	a	2021
15	Waveform 1	1	21.422979089	21.422979089	0.000	48000.000	13-C03-21-03	b	2021
16	Waveform 1	1	21.429589515	21.429589515	0.000	48000.000	13-C03-21-03	b	2021
17	Waveform 1	1	21.438457771	21.438457771	0.000	48000.000	13-C03-21-03	b	2021
18	Waveform 1	1	21.450348560	21.450348560	0.000	48000.000	13-C03-21-03	b	2021
19	Waveform 1	1	21.458531487	21.458531487	0.000	48000.000	13-C03-21-03	b	2021
20	Waveform 1	1	21.468741909	21.468741909	0.000	48000.000	13-C03-21-03	b	2021
21	Waveform 1	1	21.480397064	21.480397064	0.000	48000.000	13-C03-21-03	b	2021
22	Waveform 1	1	21.488743859	21.488743859	0.000	48000.000	13-C03-21-03	b	2021
23	Waveform 1	1	21.500660077	21.500660077	0.000	48000.000	13-C03-21-03	b	2021
24	Waveform 1	1	21.508624434	21.508624434	0.000	48000.000	13-C03-21-03	b	2021
25	Waveform 1	1	21.519053393	21.519053393	0.000	48000.000	13-C03-21-03	b	2021
26	Waveform 1	1	21.530423270	21.530423270	0.000	48000.000	13-C03-21-03	b	2021
27	Waveform 1	1	21.539456026	21.539456026	0.000	48000.000	13-C03-21-03	b	2021
