Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	21.714600360	21.714600360	0.000	48000.000	17-C03-21-02	a	2021
2	Waveform 1	1	21.721528940	21.721528940	0.000	48000.000	17-C03-21-02	a	2021
3	Waveform 1	1	21.730628070	21.730628070	0.000	48000.000	17-C03-21-02	a	2021
4	Waveform 1	1	21.743645230	21.743645230	0.000	48000.000	17-C03-21-02	a	2021
5	Waveform 1	1	21.750978490	21.750978490	0.000	48000.000	17-C03-21-02	a	2021
6	Waveform 1	1	21.761438810	21.761438810	0.000	48000.000	17-C03-21-02	a	2021
7	Waveform 1	1	21.772242500	21.772242500	0.000	48000.000	17-C03-21-02	a	2021
8	Waveform 1	1	21.780967600	21.780967600	0.000	48000.000	17-C03-21-02	a	2021
9	Waveform 1	1	21.794009280	21.794009280	0.000	48000.000	17-C03-21-02	a	2021
10	Waveform 1	1	21.801747230	21.801747230	0.000	48000.000	17-C03-21-02	a	2021
11	Waveform 1	1	21.813317350	21.813317350	0.000	48000.000	17-C03-21-02	a	2021
12	Waveform 1	1	21.821184050	21.821184050	0.000	48000.000	17-C03-21-02	a	2021
13	Waveform 1	1	21.832239120	21.832239120	0.000	48000.000	17-C03-21-02	a	2021
14	Waveform 1	1	21.841442490	21.841442490	0.000	48000.000	17-C03-21-02	a	2021
15	Waveform 1	1	21.851350980	21.851350980	0.000	48000.000	17-C03-21-02	a	2021
16	Waveform 1	1	21.863595560	21.863595560	0.000	48000.000	17-C03-21-02	a	2021
17	Waveform 1	1	21.873583760	21.873583760	0.000	48000.000	17-C03-21-02	a	2021
18	Waveform 1	1	22.218682250	22.218682250	0.000	48000.000	17-C03-21-02	b	2021
19	Waveform 1	1	22.225500460	22.225500460	0.000	48000.000	17-C03-21-02	b	2021
20	Waveform 1	1	22.234568930	22.234568930	0.000	48000.000	17-C03-21-02	b	2021
21	Waveform 1	1	22.247494110	22.247494110	0.000	48000.000	17-C03-21-02	b	2021
22	Waveform 1	1	22.254717010	22.254717010	0.000	48000.000	17-C03-21-02	b	2021
23	Waveform 1	1	22.265226380	22.265226380	0.000	48000.000	17-C03-21-02	b	2021
24	Waveform 1	1	22.275637650	22.275637650	0.000	48000.000	17-C03-21-02	b	2021
25	Waveform 1	1	22.284785830	22.284785830	0.000	48000.000	17-C03-21-02	b	2021
26	Waveform 1	1	22.297723270	22.297723270	0.000	48000.000	17-C03-21-02	b	2021
27	Waveform 1	1	22.305393770	22.305393770	0.000	48000.000	17-C03-21-02	b	2021
28	Waveform 1	1	22.317485060	22.317485060	0.000	48000.000	17-C03-21-02	b	2021
29	Waveform 1	1	22.324940960	22.324940960	0.000	48000.000	17-C03-21-02	b	2021
30	Waveform 1	1	22.336124790	22.336124790	0.000	48000.000	17-C03-21-02	b	2021
31	Waveform 1	1	22.344242890	22.344242890	0.000	48000.000	17-C03-21-02	b	2021
32	Waveform 1	1	22.354856500	22.354856500	0.000	48000.000	17-C03-21-02	b	2021
33	Waveform 1	1	22.364170230	22.364170230	0.000	48000.000	17-C03-21-02	b	2021
34	Waveform 1	1	22.373502360	22.373502360	0.000	48000.000	17-C03-21-02	b	2021
35	Waveform 1	1	22.384716850	22.384716850	0.000	48000.000	17-C03-21-02	b	2021
36	Waveform 1	1	22.394220660	22.394220660	0.000	48000.000	17-C03-21-02	b	2021
37	Waveform 1	1	22.407372710	22.407372710	0.000	48000.000	17-C03-21-02	b	2021
38	Waveform 1	1	22.810518010	22.810518010	0.000	48000.000	17-C03-21-02	c	2021
39	Waveform 1	1	22.817673450	22.817673450	0.000	48000.000	17-C03-21-02	c	2021
40	Waveform 1	1	22.826913610	22.826913610	0.000	48000.000	17-C03-21-02	c	2021
41	Waveform 1	1	22.839967550	22.839967550	0.000	48000.000	17-C03-21-02	c	2021
42	Waveform 1	1	22.847362130	22.847362130	0.000	48000.000	17-C03-21-02	c	2021
43	Waveform 1	1	22.858472380	22.858472380	0.000	48000.000	17-C03-21-02	c	2021
44	Waveform 1	1	22.868767150	22.868767150	0.000	48000.000	17-C03-21-02	c	2021
45	Waveform 1	1	22.877976650	22.877976650	0.000	48000.000	17-C03-21-02	c	2021
46	Waveform 1	1	22.890754680	22.890754680	0.000	48000.000	17-C03-21-02	c	2021
47	Waveform 1	1	22.898596850	22.898596850	0.000	48000.000	17-C03-21-02	c	2021
48	Waveform 1	1	22.911227720	22.911227720	0.000	48000.000	17-C03-21-02	c	2021
49	Waveform 1	1	22.918714270	22.918714270	0.000	48000.000	17-C03-21-02	c	2021
50	Waveform 1	1	22.929934900	22.929934900	0.000	48000.000	17-C03-21-02	c	2021
51	Waveform 1	1	22.939132140	22.939132140	0.000	48000.000	17-C03-21-02	c	2021
52	Waveform 1	1	22.949402380	22.949402380	0.000	48000.000	17-C03-21-02	c	2021
53	Waveform 1	1	22.960328550	22.960328550	0.000	48000.000	17-C03-21-02	c	2021
54	Waveform 1	1	22.970359660	22.970359660	0.000	48000.000	17-C03-21-02	c	2021
55	Waveform 1	1	23.304108910	23.304108910	0.000	48000.000	17-C03-21-02	d	2021
56	Waveform 1	1	23.311239830	23.311239830	0.000	48000.000	17-C03-21-02	d	2021
57	Waveform 1	1	23.320449330	23.320449330	0.000	48000.000	17-C03-21-02	d	2021
58	Waveform 1	1	23.333546190	23.333546190	0.000	48000.000	17-C03-21-02	d	2021
59	Waveform 1	1	23.340848800	23.340848800	0.000	48000.000	17-C03-21-02	d	2021
60	Waveform 1	1	23.351707660	23.351707660	0.000	48000.000	17-C03-21-02	d	2021
61	Waveform 1	1	23.361916590	23.361916590	0.000	48000.000	17-C03-21-02	d	2021
62	Waveform 1	1	23.370868570	23.370868570	0.000	48000.000	17-C03-21-02	d	2021
63	Waveform 1	1	23.383652720	23.383652720	0.000	48000.000	17-C03-21-02	d	2021
64	Waveform 1	1	23.391451980	23.391451980	0.000	48000.000	17-C03-21-02	d	2021
65	Waveform 1	1	23.403984740	23.403984740	0.000	48000.000	17-C03-21-02	d	2021
66	Waveform 1	1	23.411391590	23.411391590	0.000	48000.000	17-C03-21-02	d	2021
67	Waveform 1	1	23.422808420	23.422808420	0.000	48000.000	17-C03-21-02	d	2021
68	Waveform 1	1	23.430711910	23.430711910	0.000	48000.000	17-C03-21-02	d	2021
69	Waveform 1	1	23.441546250	23.441546250	0.000	48000.000	17-C03-21-02	d	2021
70	Waveform 1	1	23.450075010	23.450075010	0.000	48000.000	17-C03-21-02	d	2021
71	Waveform 1	1	23.461038110	23.461038110	0.000	48000.000	17-C03-21-02	d	2021
72	Waveform 1	1	23.470020740	23.470020740	0.000	48000.000	17-C03-21-02	d	2021
73	Waveform 1	1	23.481039030	23.481039030	0.000	48000.000	17-C03-21-02	d	2021
74	Waveform 1	1	23.490530570	23.490530570	0.000	48000.000	17-C03-21-02	d	2021
75	Waveform 1	1	23.504130210	23.504130210	0.000	48000.000	17-C03-21-02	d	2021
76	Waveform 1	1	23.947473560	23.947473560	0.000	48000.000	17-C03-21-02	e	2021
77	Waveform 1	1	23.954579960	23.954579960	0.000	48000.000	17-C03-21-02	e	2021
78	Waveform 1	1	23.963752670	23.963752670	0.000	48000.000	17-C03-21-02	e	2021
79	Waveform 1	1	23.976665580	23.976665580	0.000	48000.000	17-C03-21-02	e	2021
80	Waveform 1	1	23.983913000	23.983913000	0.000	48000.000	17-C03-21-02	e	2021
81	Waveform 1	1	23.994679900	23.994679900	0.000	48000.000	17-C03-21-02	e	2021
82	Waveform 1	1	24.004956280	24.004956280	0.000	48000.000	17-C03-21-02	e	2021
83	Waveform 1	1	24.013779490	24.013779490	0.000	48000.000	17-C03-21-02	e	2021
84	Waveform 1	1	24.027011250	24.027011250	0.000	48000.000	17-C03-21-02	e	2021
85	Waveform 1	1	24.034761450	24.034761450	0.000	48000.000	17-C03-21-02	e	2021
86	Waveform 1	1	24.046601360	24.046601360	0.000	48000.000	17-C03-21-02	e	2021
87	Waveform 1	1	24.054504840	24.054504840	0.000	48000.000	17-C03-21-02	e	2021
88	Waveform 1	1	24.065572180	24.065572180	0.000	48000.000	17-C03-21-02	e	2021
89	Waveform 1	1	24.074928830	24.074928830	0.000	48000.000	17-C03-21-02	e	2021
90	Waveform 1	1	24.084959950	24.084959950	0.000	48000.000	17-C03-21-02	e	2021
91	Waveform 1	1	24.097106440	24.097106440	0.000	48000.000	17-C03-21-02	e	2021
92	Waveform 1	1	24.107603550	24.107603550	0.000	48000.000	17-C03-21-02	e	2021
93	Waveform 1	1	24.434902320	24.434902320	0.000	48000.000	17-C03-21-02	f	2021
94	Waveform 1	1	24.441861560	24.441861560	0.000	48000.000	17-C03-21-02	f	2021
95	Waveform 1	1	24.450739960	24.450739960	0.000	48000.000	17-C03-21-02	f	2021
96	Waveform 1	1	24.463842950	24.463842950	0.000	48000.000	17-C03-21-02	f	2021
97	Waveform 1	1	24.471255920	24.471255920	0.000	48000.000	17-C03-21-02	f	2021
98	Waveform 1	1	24.481802080	24.481802080	0.000	48000.000	17-C03-21-02	f	2021
99	Waveform 1	1	24.492618030	24.492618030	0.000	48000.000	17-C03-21-02	f	2021
100	Waveform 1	1	24.501453500	24.501453500	0.000	48000.000	17-C03-21-02	f	2021
101	Waveform 1	1	24.514390950	24.514390950	0.000	48000.000	17-C03-21-02	f	2021
102	Waveform 1	1	24.522116620	24.522116620	0.000	48000.000	17-C03-21-02	f	2021
103	Waveform 1	1	24.534146610	24.534146610	0.000	48000.000	17-C03-21-02	f	2021
104	Waveform 1	1	24.541651550	24.541651550	0.000	48000.000	17-C03-21-02	f	2021
105	Waveform 1	1	24.552485890	24.552485890	0.000	48000.000	17-C03-21-02	f	2021
106	Waveform 1	1	24.560849250	24.560849250	0.000	48000.000	17-C03-21-02	f	2021
107	Waveform 1	1	24.571021390	24.571021390	0.000	48000.000	17-C03-21-02	f	2021
108	Waveform 1	1	24.580353510	24.580353510	0.000	48000.000	17-C03-21-02	f	2021
109	Waveform 1	1	24.589379070	24.589379070	0.000	48000.000	17-C03-21-02	f	2021
110	Waveform 1	1	24.601433570	24.601433570	0.000	48000.000	17-C03-21-02	f	2021
111	Waveform 1	1	24.610023790	24.610023790	0.000	48000.000	17-C03-21-02	f	2021
112	Waveform 1	1	24.622752770	24.622752770	0.000	48000.000	17-C03-21-02	f	2021
113	Waveform 1	1	24.633347980	24.633347980	0.000	48000.000	17-C03-21-02	f	2021
114	Waveform 1	1	25.041190000	25.041190000	0.000	48000.000	17-C03-21-02	g	2021
115	Waveform 1	1	25.048216690	25.048216690	0.000	48000.000	17-C03-21-02	g	2021
116	Waveform 1	1	25.057082820	25.057082820	0.000	48000.000	17-C03-21-02	g	2021
117	Waveform 1	1	25.070142900	25.070142900	0.000	48000.000	17-C03-21-02	g	2021
118	Waveform 1	1	25.077727550	25.077727550	0.000	48000.000	17-C03-21-02	g	2021
119	Waveform 1	1	25.088568020	25.088568020	0.000	48000.000	17-C03-21-02	g	2021
120	Waveform 1	1	25.098991550	25.098991550	0.000	48000.000	17-C03-21-02	g	2021
121	Waveform 1	1	25.108164260	25.108164260	0.000	48000.000	17-C03-21-02	g	2021
122	Waveform 1	1	25.120997470	25.120997470	0.000	48000.000	17-C03-21-02	g	2021
123	Waveform 1	1	25.128661840	25.128661840	0.000	48000.000	17-C03-21-02	g	2021
124	Waveform 1	1	25.140789920	25.140789920	0.000	48000.000	17-C03-21-02	g	2021
125	Waveform 1	1	25.148153830	25.148153830	0.000	48000.000	17-C03-21-02	g	2021
126	Waveform 1	1	25.159601330	25.159601330	0.000	48000.000	17-C03-21-02	g	2021
127	Waveform 1	1	25.168786300	25.168786300	0.000	48000.000	17-C03-21-02	g	2021
128	Waveform 1	1	25.178725440	25.178725440	0.000	48000.000	17-C03-21-02	g	2021
129	Waveform 1	1	25.190221990	25.190221990	0.000	48000.000	17-C03-21-02	g	2021
130	Waveform 1	1	25.199241410	25.199241410	0.000	48000.000	17-C03-21-02	g	2021
131	Waveform 1	1	25.533603660	25.533603660	0.000	48000.000	17-C03-21-02	h	2021
132	Waveform 1	1	25.540710050	25.540710050	0.000	48000.000	17-C03-21-02	h	2021
133	Waveform 1	1	25.549839840	25.549839840	0.000	48000.000	17-C03-21-02	h	2021
134	Waveform 1	1	25.562814070	25.562814070	0.000	48000.000	17-C03-21-02	h	2021
