Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	19.573332524	19.573332524	0.0	48000.0	20-C03-21-08	a	2021
2	Waveform 1	1	19.579798767	19.579798767	0.0	48000.0	20-C03-21-08	a	2021
3	Waveform 1	1	19.589012219	19.589012219	0.0	48000.0	20-C03-21-08	a	2021
4	Waveform 1	1	19.601641986	19.601641986	0.0	48000.0	20-C03-21-08	a	2021
5	Waveform 1	1	19.609643755	19.609643755	0.0	48000.0	20-C03-21-08	a	2021
6	Waveform 1	1	19.622076292	19.622076292	0.0	48000.0	20-C03-21-08	a	2021
7	Waveform 1	1	19.630120455	19.630120455	0.0	48000.0	20-C03-21-08	a	2021
8	Waveform 1	1	19.640707487	19.640707487	0.0	48000.0	20-C03-21-08	a	2021
9	Waveform 1	1	19.651773357	19.651773357	0.0	48000.0	20-C03-21-08	a	2021
10	Waveform 1	1	19.660831861	19.660831861	0.0	48000.0	20-C03-21-08	a	2021
11	Waveform 1	1	19.673320749	19.673320749	0.0	48000.0	20-C03-21-08	a	2021
12	Waveform 1	1	19.681350825	19.681350825	0.0	48000.0	20-C03-21-08	a	2021
13	Waveform 1	1	19.693614177	19.693614177	0.0	48000.0	20-C03-21-08	a	2021
14	Waveform 1	1	19.703954655	19.703954655	0.0	48000.0	20-C03-21-08	a	2021
15	Waveform 1	1	19.715386956	19.715386956	0.0	48000.0	20-C03-21-08	a	2021
16	Waveform 1	1	19.729594428	19.729594428	0.0	48000.0	20-C03-21-08	a	2021
17	Waveform 1	1	20.060002962	20.060002962	0.0	48000.0	20-C03-21-08	b	2021
18	Waveform 1	1	20.066356587	20.066356587	0.0	48000.0	20-C03-21-08	b	2021
19	Waveform 1	1	20.075517181	20.075517181	0.0	48000.0	20-C03-21-08	b	2021
20	Waveform 1	1	20.088323063	20.088323063	0.0	48000.0	20-C03-21-08	b	2021
21	Waveform 1	1	20.095951635	20.095951635	0.0	48000.0	20-C03-21-08	b	2021
22	Waveform 1	1	20.107968582	20.107968582	0.0	48000.0	20-C03-21-08	b	2021
23	Waveform 1	1	20.116062070	20.116062070	0.0	48000.0	20-C03-21-08	b	2021
24	Waveform 1	1	20.126761805	20.126761805	0.0	48000.0	20-C03-21-08	b	2021
25	Waveform 1	1	20.137355881	20.137355881	0.0	48000.0	20-C03-21-08	b	2021
26	Waveform 1	1	20.146829958	20.146829958	0.0	48000.0	20-C03-21-08	b	2021
27	Waveform 1	1	20.159114573	20.159114573	0.0	48000.0	20-C03-21-08	b	2021
28	Waveform 1	1	20.166940393	20.166940393	0.0	48000.0	20-C03-21-08	b	2021
29	Waveform 1	1	20.179041866	20.179041866	0.0	48000.0	20-C03-21-08	b	2021
30	Waveform 1	1	20.187853816	20.187853816	0.0	48000.0	20-C03-21-08	b	2021
31	Waveform 1	1	20.199694664	20.199694664	0.0	48000.0	20-C03-21-08	b	2021
32	Waveform 1	1	20.209823842	20.209823842	0.0	48000.0	20-C03-21-08	b	2021
33	Waveform 1	1	20.221573120	20.221573120	0.0	48000.0	20-C03-21-08	b	2021
34	Waveform 1	1	20.737893203	20.737893203	0.0	48000.0	20-C03-21-08	c	2021
35	Waveform 1	1	20.744225696	20.744225696	0.0	48000.0	20-C03-21-08	c	2021
36	Waveform 1	1	20.753248963	20.753248963	0.0	48000.0	20-C03-21-08	c	2021
37	Waveform 1	1	20.765850554	20.765850554	0.0	48000.0	20-C03-21-08	c	2021
38	Waveform 1	1	20.773605935	20.773605935	0.0	48000.0	20-C03-21-08	c	2021
39	Waveform 1	1	20.785855330	20.785855330	0.0	48000.0	20-C03-21-08	c	2021
40	Waveform 1	1	20.794167179	20.794167179	0.0	48000.0	20-C03-21-08	c	2021
41	Waveform 1	1	20.804648536	20.804648536	0.0	48000.0	20-C03-21-08	c	2021
