Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	27.25064639	27.25064639	0	48000	28-C45-21-03	a	2021
2	Waveform 1	1	27.25073966	27.25073966	0	48000	28-C45-21-03	a	2021
3	Waveform 1	1	27.2508425	27.2508425	0	48000	28-C45-21-03	a	2021
4	Waveform 1	1	27.25094654	27.25094654	0	48000	28-C45-21-03	a	2021
5	Waveform 1	1	27.2510422	27.2510422	0	48000	28-C45-21-03	a	2021
6	Waveform 1	1	27.25113547	27.25113547	0	48000	28-C45-21-03	a	2021
7	Waveform 1	1	27.25121799	27.25121799	0	48000	28-C45-21-03	a	2021
8	Waveform 1	1	27.2513005	27.2513005	0	48000	28-C45-21-03	a	2021
9	Waveform 1	1	27.25140573	27.25140573	0	48000	28-C45-21-03	a	2021
10	Waveform 1	1	27.25148824	27.25148824	0	48000	28-C45-21-03	a	2021
11	Waveform 1	1	27.25162538	27.25162538	0	48000	28-C45-21-03	a	2021
12	Waveform 1	1	27.25168748	27.25168748	0	48000	28-C45-21-03	a	2021
13	Waveform 1	1	27.25173924	27.25173924	0	48000	28-C45-21-03	a	2021
14	Waveform 1	1	27.25182204	27.25182204	0	48000	28-C45-21-03	a	2021
15	Waveform 1	1	27.2519267	27.2519267	0	48000	28-C45-21-03	a	2021
16	Waveform 1	1	27.25202101	27.25202101	0	48000	28-C45-21-03	a	2021
17	Waveform 1	1	27.25209347	27.25209347	0	48000	28-C45-21-03	a	2021
18	Waveform 1	1	27.25216669	27.25216669	0	48000	28-C45-21-03	a	2021
19	Waveform 1	1	27.2522909	27.2522909	0	48000	28-C45-21-03	a	2021
20	Waveform 1	1	27.2523645	27.2523645	0	48000	28-C45-21-03	a	2021
21	Waveform 1	1	27.25768596	27.25768596	0	48000	28-C45-21-03	b	2021
22	Waveform 1	1	27.25778163	27.25778163	0	48000	28-C45-21-03	b	2021
23	Waveform 1	1	27.2578749	27.2578749	0	48000	28-C45-21-03	b	2021
24	Waveform 1	1	27.25796817	27.25796817	0	48000	28-C45-21-03	b	2021
25	Waveform 1	1	27.25806264	27.25806264	0	48000	28-C45-21-03	b	2021
26	Waveform 1	1	27.25815592	27.25815592	0	48000	28-C45-21-03	b	2021
27	Waveform 1	1	27.25825039	27.25825039	0	48000	28-C45-21-03	b	2021
28	Waveform 1	1	27.25834246	27.25834246	0	48000	28-C45-21-03	b	2021
29	Waveform 1	1	27.25842737	27.25842737	0	48000	28-C45-21-03	b	2021
30	Waveform 1	1	27.25852064	27.25852064	0	48000	28-C45-21-03	b	2021
31	Waveform 1	1	27.25877155	27.25877155	0	48000	28-C45-21-03	b	2021
32	Waveform 1	1	27.25886471	27.25886471	0	48000	28-C45-21-03	b	2021
33	Waveform 1	1	27.25896822	27.25896822	0	48000	28-C45-21-03	b	2021
