Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	43.018531923	43.018531923	0.0	48000.0	34-C03-21-04	a	2021
2	Waveform 1	2	43.024949805	43.024949805	0.0	48000.0	34-C03-21-04	a	2021
3	Waveform 1	2	43.033329592	43.033329592	0.0	48000.0	34-C03-21-04	a	2021
4	Waveform 1	2	43.043709631	43.043709631	0.0	48000.0	34-C03-21-04	a	2021
5	Waveform 1	2	43.050666149	43.050666149	0.0	48000.0	34-C03-21-04	a	2021
6	Waveform 1	2	43.060193470	43.060193470	0.0	48000.0	34-C03-21-04	a	2021
7	Waveform 1	2	43.069163107	43.069163107	0.0	48000.0	34-C03-21-04	a	2021
8	Waveform 1	2	43.077825062	43.077825062	0.0	48000.0	34-C03-21-04	a	2021
9	Waveform 1	2	43.088288626	43.088288626	0.0	48000.0	34-C03-21-04	a	2021
10	Waveform 1	2	43.094975622	43.094975622	0.0	48000.0	34-C03-21-04	a	2021
11	Waveform 1	2	43.105990568	43.105990568	0.0	48000.0	34-C03-21-04	a	2021
12	Waveform 1	2	43.114549940	43.114549940	0.0	48000.0	34-C03-21-04	a	2021
13	Waveform 1	2	43.123904329	43.123904329	0.0	48000.0	34-C03-21-04	a	2021
14	Waveform 1	2	43.134515354	43.134515354	0.0	48000.0	34-C03-21-04	a	2021
15	Waveform 1	2	43.144061909	43.144061909	0.0	48000.0	34-C03-21-04	a	2021
16	Waveform 1	2	43.433200472	43.433200472	0.0	48000.0	34-C03-21-04	b	2021
17	Waveform 1	2	43.439317095	43.439317095	0.0	48000.0	34-C03-21-04	b	2021
18	Waveform 1	2	43.447805877	43.447805877	0.0	48000.0	34-C03-21-04	b	2021
19	Waveform 1	2	43.458493839	43.458493839	0.0	48000.0	34-C03-21-04	b	2021
20	Waveform 1	2	43.466424893	43.466424893	0.0	48000.0	34-C03-21-04	b	2021
21	Waveform 1	2	43.476587120	43.476587120	0.0	48000.0	34-C03-21-04	b	2021
22	Waveform 1	2	43.483242060	43.483242060	0.0	48000.0	34-C03-21-04	b	2021
23	Waveform 1	2	43.492577214	43.492577214	0.0	48000.0	34-C03-21-04	b	2021
24	Waveform 1	2	43.503970433	43.503970433	0.0	48000.0	34-C03-21-04	b	2021
25	Waveform 1	2	43.510317801	43.510317801	0.0	48000.0	34-C03-21-04	b	2021
26	Waveform 1	2	43.521698196	43.521698196	0.0	48000.0	34-C03-21-04	b	2021
27	Waveform 1	2	43.529186686	43.529186686	0.0	48000.0	34-C03-21-04	b	2021
28	Waveform 1	2	43.538560309	43.538560309	0.0	48000.0	34-C03-21-04	b	2021
29	Waveform 1	2	43.546613114	43.546613114	0.0	48000.0	34-C03-21-04	b	2021
30	Waveform 1	2	43.553908325	43.553908325	0.0	48000.0	34-C03-21-04	b	2021
31	Waveform 1	2	43.565233305	43.565233305	0.0	48000.0	34-C03-21-04	b	2021
32	Waveform 1	2	43.571498764	43.571498764	0.0	48000.0	34-C03-21-04	b	2021
33	Waveform 1	2	43.581889758	43.581889758	0.0	48000.0	34-C03-21-04	b	2021
34	Waveform 1	2	43.592190082	43.592190082	0.0	48000.0	34-C03-21-04	b	2021
35	Waveform 1	2	44.089501764	44.089501764	0.0	48000.0	34-C03-21-04	c	2021
36	Waveform 1	2	44.095812330	44.095812330	0.0	48000.0	34-C03-21-04	c	2021
37	Waveform 1	2	44.104081672	44.104081672	0.0	48000.0	34-C03-21-04	c	2021
38	Waveform 1	2	44.114449907	44.114449907	0.0	48000.0	34-C03-21-04	c	2021
39	Waveform 1	2	44.121767066	44.121767066	0.0	48000.0	34-C03-21-04	c	2021
40	Waveform 1	2	44.130462595	44.130462595	0.0	48000.0	34-C03-21-04	c	2021
41	Waveform 1	2	44.139774427	44.139774427	0.0	48000.0	34-C03-21-04	c	2021
42	Waveform 1	2	44.148560542	44.148560542	0.0	48000.0	34-C03-21-04	c	2021
43	Waveform 1	2	44.160193816	44.160193816	0.0	48000.0	34-C03-21-04	c	2021
44	Waveform 1	2	44.165715595	44.165715595	0.0	48000.0	34-C03-21-04	c	2021
45	Waveform 1	2	44.178046951	44.178046951	0.0	48000.0	34-C03-21-04	c	2021
46	Waveform 1	2	44.184384947	44.184384947	0.0	48000.0	34-C03-21-04	c	2021
47	Waveform 1	2	44.192536364	44.192536364	0.0	48000.0	34-C03-21-04	c	2021
48	Waveform 1	2	44.204541389	44.204541389	0.0	48000.0	34-C03-21-04	c	2021
49	Waveform 1	2	44.212629337	44.212629337	0.0	48000.0	34-C03-21-04	c	2021
50	Waveform 1	2	44.223283278	44.223283278	0.0	48000.0	34-C03-21-04	c	2021
51	Waveform 1	2	44.231770263	44.231770263	0.0	48000.0	34-C03-21-04	c	2021
52	Waveform 1	2	44.243992638	44.243992638	0.0	48000.0	34-C03-21-04	c	2021
53	Waveform 1	2	44.589547004	44.589547004	0.0	48000.0	34-C03-21-04	d	2021
54	Waveform 1	2	44.595612810	44.595612810	0.0	48000.0	34-C03-21-04	d	2021
55	Waveform 1	2	44.603709649	44.603709649	0.0	48000.0	34-C03-21-04	d	2021
56	Waveform 1	2	44.614481462	44.614481462	0.0	48000.0	34-C03-21-04	d	2021
57	Waveform 1	2	44.621998090	44.621998090	0.0	48000.0	34-C03-21-04	d	2021
58	Waveform 1	2	44.631500508	44.631500508	0.0	48000.0	34-C03-21-04	d	2021
59	Waveform 1	2	44.639044429	44.639044429	0.0	48000.0	34-C03-21-04	d	2021
60	Waveform 1	2	44.648637518	44.648637518	0.0	48000.0	34-C03-21-04	d	2021
61	Waveform 1	2	44.659491019	44.659491019	0.0	48000.0	34-C03-21-04	d	2021
62	Waveform 1	2	44.666717592	44.666717592	0.0	48000.0	34-C03-21-04	d	2021
63	Waveform 1	2	44.677045116	44.677045116	0.0	48000.0	34-C03-21-04	d	2021
64	Waveform 1	2	44.684598105	44.684598105	0.0	48000.0	34-C03-21-04	d	2021
65	Waveform 1	2	44.695124930	44.695124930	0.0	48000.0	34-C03-21-04	d	2021
66	Waveform 1	2	44.703412439	44.703412439	0.0	48000.0	34-C03-21-04	d	2021
67	Waveform 1	2	44.712561062	44.712561062	0.0	48000.0	34-C03-21-04	d	2021
68	Waveform 1	2	44.722843251	44.722843251	0.0	48000.0	34-C03-21-04	d	2021
69	Waveform 1	2	44.729970086	44.729970086	0.0	48000.0	34-C03-21-04	d	2021
70	Waveform 1	2	44.740651312	44.740651312	0.0	48000.0	34-C03-21-04	d	2021
71	Waveform 1	2	44.751314320	44.751314320	0.0	48000.0	34-C03-21-04	d	2021
72	Waveform 1	2	45.437999183	45.437999183	0.0	48000.0	34-C03-21-04	e	2021
73	Waveform 1	2	45.443820353	45.443820353	0.0	48000.0	34-C03-21-04	e	2021
74	Waveform 1	2	45.452941952	45.452941952	0.0	48000.0	34-C03-21-04	e	2021
75	Waveform 1	2	45.462281161	45.462281161	0.0	48000.0	34-C03-21-04	e	2021
76	Waveform 1	2	45.470160566	45.470160566	0.0	48000.0	34-C03-21-04	e	2021
77	Waveform 1	2	45.478856011	45.478856011	0.0	48000.0	34-C03-21-04	e	2021
78	Waveform 1	2	45.488739331	45.488739331	0.0	48000.0	34-C03-21-04	e	2021
79	Waveform 1	2	45.498051339	45.498051339	0.0	48000.0	34-C03-21-04	e	2021
80	Waveform 1	2	45.508360553	45.508360553	0.0	48000.0	34-C03-21-04	e	2021
81	Waveform 1	2	45.514771086	45.514771086	0.0	48000.0	34-C03-21-04	e	2021
82	Waveform 1	2	45.525293586	45.525293586	0.0	48000.0	34-C03-21-04	e	2021
83	Waveform 1	2	45.532873776	45.532873776	0.0	48000.0	34-C03-21-04	e	2021
84	Waveform 1	2	45.543309930	45.543309930	0.0	48000.0	34-C03-21-04	e	2021
85	Waveform 1	2	45.554553233	45.554553233	0.0	48000.0	34-C03-21-04	e	2021
86	Waveform 1	2	45.563647715	45.563647715	0.0	48000.0	34-C03-21-04	e	2021
87	Waveform 1	2	45.851448613	45.851448613	0.0	48000.0	34-C03-21-04	f	2021
88	Waveform 1	2	45.858366904	45.858366904	0.0	48000.0	34-C03-21-04	f	2021
89	Waveform 1	2	45.866772201	45.866772201	0.0	48000.0	34-C03-21-04	f	2021
90	Waveform 1	2	45.877453343	45.877453343	0.0	48000.0	34-C03-21-04	f	2021
91	Waveform 1	2	45.884035974	45.884035974	0.0	48000.0	34-C03-21-04	f	2021
92	Waveform 1	2	45.894708134	45.894708134	0.0	48000.0	34-C03-21-04	f	2021
93	Waveform 1	2	45.901916572	45.901916572	0.0	48000.0	34-C03-21-04	f	2021
94	Waveform 1	2	45.911545929	45.911545929	0.0	48000.0	34-C03-21-04	f	2021
95	Waveform 1	2	45.920930474	45.920930474	0.0	48000.0	34-C03-21-04	f	2021
96	Waveform 1	2	45.928247718	45.928247718	0.0	48000.0	34-C03-21-04	f	2021
97	Waveform 1	2	45.939726850	45.939726850	0.0	48000.0	34-C03-21-04	f	2021
98	Waveform 1	2	45.946300590	45.946300590	0.0	48000.0	34-C03-21-04	f	2021
99	Waveform 1	2	45.955975283	45.955975283	0.0	48000.0	34-C03-21-04	f	2021
100	Waveform 1	2	45.964181103	45.964181103	0.0	48000.0	34-C03-21-04	f	2021
101	Waveform 1	2	45.972323454	45.972323454	0.0	48000.0	34-C03-21-04	f	2021
102	Waveform 1	2	45.982986546	45.982986546	0.0	48000.0	34-C03-21-04	f	2021
103	Waveform 1	2	45.990421486	45.990421486	0.0	48000.0	34-C03-21-04	f	2021
104	Waveform 1	2	46.001066360	46.001066360	0.0	48000.0	34-C03-21-04	f	2021
105	Waveform 1	2	46.009580462	46.009580462	0.0	48000.0	34-C03-21-04	f	2021
106	Waveform 1	2	46.019554277	46.019554277	0.0	48000.0	34-C03-21-04	f	2021
107	Waveform 1	2	46.567016568	46.567016568	0.0	48000.0	34-C03-21-04	g	2021
108	Waveform 1	2	46.573046105	46.573046105	0.0	48000.0	34-C03-21-04	g	2021
109	Waveform 1	2	46.582040764	46.582040764	0.0	48000.0	34-C03-21-04	g	2021
110	Waveform 1	2	46.592903156	46.592903156	0.0	48000.0	34-C03-21-04	g	2021
111	Waveform 1	2	46.600256669	46.600256669	0.0	48000.0	34-C03-21-04	g	2021
112	Waveform 1	2	46.610511656	46.610511656	0.0	48000.0	34-C03-21-04	g	2021
113	Waveform 1	2	46.618182602	46.618182602	0.0	48000.0	34-C03-21-04	g	2021
114	Waveform 1	2	46.626769241	46.626769241	0.0	48000.0	34-C03-21-04	g	2021
115	Waveform 1	2	46.637105833	46.637105833	0.0	48000.0	34-C03-21-04	g	2021
116	Waveform 1	2	46.645112177	46.645112177	0.0	48000.0	34-C03-21-04	g	2021
117	Waveform 1	2	46.655748068	46.655748068	0.0	48000.0	34-C03-21-04	g	2021
118	Waveform 1	2	46.663155982	46.663155982	0.0	48000.0	34-C03-21-04	g	2021
119	Waveform 1	2	46.673891527	46.673891527	0.0	48000.0	34-C03-21-04	g	2021
120	Waveform 1	2	46.682768314	46.682768314	0.0	48000.0	34-C03-21-04	g	2021
121	Waveform 1	2	46.691735680	46.691735680	0.0	48000.0	34-C03-21-04	g	2021
122	Waveform 1	2	46.702434956	46.702434956	0.0	48000.0	34-C03-21-04	g	2021
123	Waveform 1	2	46.713705460	46.713705460	0.0	48000.0	34-C03-21-04	g	2021
124	Waveform 1	2	47.058466807	47.058466807	0.0	48000.0	34-C03-21-04	h	2021
125	Waveform 1	2	47.064768534	47.064768534	0.0	48000.0	34-C03-21-04	h	2021
126	Waveform 1	2	47.072992573	47.072992573	0.0	48000.0	34-C03-21-04	h	2021
127	Waveform 1	2	47.082857675	47.082857675	0.0	48000.0	34-C03-21-04	h	2021
128	Waveform 1	2	47.091571254	47.091571254	0.0	48000.0	34-C03-21-04	h	2021
129	Waveform 1	2	47.101780730	47.101780730	0.0	48000.0	34-C03-21-04	h	2021
130	Waveform 1	2	47.109252114	47.109252114	0.0	48000.0	34-C03-21-04	h	2021
131	Waveform 1	2	47.118818086	47.118818086	0.0	48000.0	34-C03-21-04	h	2021
132	Waveform 1	2	47.128728523	47.128728523	0.0	48000.0	34-C03-21-04	h	2021
133	Waveform 1	2	47.136054834	47.136054834	0.0	48000.0	34-C03-21-04	h	2021
134	Waveform 1	2	47.147370582	47.147370582	0.0	48000.0	34-C03-21-04	h	2021
135	Waveform 1	2	47.154189134	47.154189134	0.0	48000.0	34-C03-21-04	h	2021
136	Waveform 1	2	47.164598263	47.164598263	0.0	48000.0	34-C03-21-04	h	2021
137	Waveform 1	2	47.173157701	47.173157701	0.0	48000.0	34-C03-21-04	h	2021
138	Waveform 1	2	47.180438676	47.180438676	0.0	48000.0	34-C03-21-04	h	2021
139	Waveform 1	2	47.191736466	47.191736466	0.0	48000.0	34-C03-21-04	h	2021
140	Waveform 1	2	47.199588493	47.199588493	0.0	48000.0	34-C03-21-04	h	2021
141	Waveform 1	2	47.211140078	47.211140078	0.0	48000.0	34-C03-21-04	h	2021
