Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	27.048208628	27.048208628	0.0	48000.0	37-C45-21-06_02	a	2021
2	Waveform 1	2	27.055220959	27.055220959	0.0	48000.0	37-C45-21-06_02	a	2021
3	Waveform 1	2	27.064086276	27.064086276	0.0	48000.0	37-C45-21-06_02	a	2021
4	Waveform 1	2	27.074948719	27.074948719	0.0	48000.0	37-C45-21-06_02	a	2021
5	Waveform 1	2	27.083209265	27.083209265	0.0	48000.0	37-C45-21-06_02	a	2021
6	Waveform 1	2	27.094649362	27.094649362	0.0	48000.0	37-C45-21-06_02	a	2021
7	Waveform 1	2	27.102449755	27.102449755	0.0	48000.0	37-C45-21-06_02	a	2021
8	Waveform 1	2	27.113987561	27.113987561	0.0	48000.0	37-C45-21-06_02	a	2021
9	Waveform 1	2	27.122178792	27.122178792	0.0	48000.0	37-C45-21-06_02	a	2021
10	Waveform 1	2	27.133480467	27.133480467	0.0	48000.0	37-C45-21-06_02	a	2021
11	Waveform 1	2	27.141492564	27.141492564	0.0	48000.0	37-C45-21-06_02	a	2021
12	Waveform 1	2	27.152957087	27.152957087	0.0	48000.0	37-C45-21-06_02	a	2021
13	Waveform 1	2	27.162043987	27.162043987	0.0	48000.0	37-C45-21-06_02	a	2021
14	Waveform 1	2	27.174379720	27.174379720	0.0	48000.0	37-C45-21-06_02	a	2021
15	Waveform 1	2	27.498276128	27.498276128	0.0	48000.0	37-C45-21-06_02	b	2021
16	Waveform 1	2	27.505197170	27.505197170	0.0	48000.0	37-C45-21-06_02	b	2021
17	Waveform 1	2	27.513982831	27.513982831	0.0	48000.0	37-C45-21-06_02	b	2021
18	Waveform 1	2	27.524331809	27.524331809	0.0	48000.0	37-C45-21-06_02	b	2021
19	Waveform 1	2	27.532506786	27.532506786	0.0	48000.0	37-C45-21-06_02	b	2021
20	Waveform 1	2	27.543458336	27.543458336	0.0	48000.0	37-C45-21-06_02	b	2021
21	Waveform 1	2	27.551242445	27.551242445	0.0	48000.0	37-C45-21-06_02	b	2021
22	Waveform 1	2	27.562560405	27.562560405	0.0	48000.0	37-C45-21-06_02	b	2021
23	Waveform 1	2	27.570588787	27.570588787	0.0	48000.0	37-C45-21-06_02	b	2021
24	Waveform 1	2	27.581768325	27.581768325	0.0	48000.0	37-C45-21-06_02	b	2021
25	Waveform 1	2	27.589479184	27.589479184	0.0	48000.0	37-C45-21-06_02	b	2021
26	Waveform 1	2	27.599795592	27.599795592	0.0	48000.0	37-C45-21-06_02	b	2021
27	Waveform 1	2	27.607685584	27.607685584	0.0	48000.0	37-C45-21-06_02	b	2021
28	Waveform 1	2	27.617977565	27.617977565	0.0	48000.0	37-C45-21-06_02	b	2021
29	Waveform 1	2	27.626575949	27.626575949	0.0	48000.0	37-C45-21-06_02	b	2021
30	Waveform 1	2	27.636843502	27.636843502	0.0	48000.0	37-C45-21-06_02	b	2021
31	Waveform 1	2	27.646801675	27.646801675	0.0	48000.0	37-C45-21-06_02	b	2021
32	Waveform 1	2	27.657989323	27.657989323	0.0	48000.0	37-C45-21-06_02	b	2021
33	Waveform 1	2	28.114835004	28.114835004	0.0	48000.0	37-C45-21-06_02	c	2021
34	Waveform 1	2	28.121747904	28.121747904	0.0	48000.0	37-C45-21-06_02	c	2021
35	Waveform 1	2	28.130675969	28.130675969	0.0	48000.0	37-C45-21-06_02	c	2021
36	Waveform 1	2	28.142026467	28.142026467	0.0	48000.0	37-C45-21-06_02	c	2021
37	Waveform 1	2	28.150111878	28.150111878	0.0	48000.0	37-C45-21-06_02	c	2021
38	Waveform 1	2	28.160281722	28.160281722	0.0	48000.0	37-C45-21-06_02	c	2021
39	Waveform 1	2	28.169612926	28.169612926	0.0	48000.0	37-C45-21-06_02	c	2021
40	Waveform 1	2	28.180898284	28.180898284	0.0	48000.0	37-C45-21-06_02	c	2021
41	Waveform 1	2	28.189089547	28.189089547	0.0	48000.0	37-C45-21-06_02	c	2021
42	Waveform 1	2	28.200301623	28.200301623	0.0	48000.0	37-C45-21-06_02	c	2021
43	Waveform 1	2	28.208216043	28.208216043	0.0	48000.0	37-C45-21-06_02	c	2021
44	Waveform 1	2	28.219297840	28.219297840	0.0	48000.0	37-C45-21-06_02	c	2021
45	Waveform 1	2	28.227570527	28.227570527	0.0	48000.0	37-C45-21-06_02	c	2021
46	Waveform 1	2	28.239124585	28.239124585	0.0	48000.0	37-C45-21-06_02	c	2021
47	Waveform 1	2	28.248797772	28.248797772	0.0	48000.0	37-C45-21-06_02	c	2021
48	Waveform 1	2	28.261271927	28.261271927	0.0	48000.0	37-C45-21-06_02	c	2021
49	Waveform 1	2	28.584492513	28.584492513	0.0	48000.0	37-C45-21-06_02	d	2021
50	Waveform 1	2	28.591291418	28.591291418	0.0	48000.0	37-C45-21-06_02	d	2021
51	Waveform 1	2	28.600264323	28.600264323	0.0	48000.0	37-C45-21-06_02	d	2021
52	Waveform 1	2	28.610882033	28.610882033	0.0	48000.0	37-C45-21-06_02	d	2021
53	Waveform 1	2	28.619008156	28.619008156	0.0	48000.0	37-C45-21-06_02	d	2021
54	Waveform 1	2	28.630407508	28.630407508	0.0	48000.0	37-C45-21-06_02	d	2021
55	Waveform 1	2	28.638207934	28.638207934	0.0	48000.0	37-C45-21-06_02	d	2021
56	Waveform 1	2	28.649827132	28.649827132	0.0	48000.0	37-C45-21-06_02	d	2021
57	Waveform 1	2	28.657708982	28.657708982	0.0	48000.0	37-C45-21-06_02	d	2021
58	Waveform 1	2	28.668733782	28.668733782	0.0	48000.0	37-C45-21-06_02	d	2021
59	Waveform 1	2	28.676403929	28.676403929	0.0	48000.0	37-C45-21-06_02	d	2021
60	Waveform 1	2	28.687037892	28.687037892	0.0	48000.0	37-C45-21-06_02	d	2021
61	Waveform 1	2	28.694805748	28.694805748	0.0	48000.0	37-C45-21-06_02	d	2021
62	Waveform 1	2	28.705309463	28.705309463	0.0	48000.0	37-C45-21-06_02	d	2021
63	Waveform 1	2	28.713728682	28.713728682	0.0	48000.0	37-C45-21-06_02	d	2021
64	Waveform 1	2	28.724387104	28.724387104	0.0	48000.0	37-C45-21-06_02	d	2021
65	Waveform 1	2	28.734630230	28.734630230	0.0	48000.0	37-C45-21-06_02	d	2021
66	Waveform 1	2	28.747348658	28.747348658	0.0	48000.0	37-C45-21-06_02	d	2021
67	Waveform 1	2	29.225820563	29.225820563	0.0	48000.0	37-C45-21-06_02	d	2021
68	Waveform 1	2	29.232896312	29.232896312	0.0	48000.0	37-C45-21-06_02	d	2021
69	Waveform 1	2	29.242007639	29.242007639	0.0	48000.0	37-C45-21-06_02	d	2021
70	Waveform 1	2	29.253008011	29.253008011	0.0	48000.0	37-C45-21-06_02	d	2021
71	Waveform 1	2	29.261264413	29.261264413	0.0	48000.0	37-C45-21-06_02	d	2021
72	Waveform 1	2	29.273152312	29.273152312	0.0	48000.0	37-C45-21-06_02	d	2021
73	Waveform 1	2	29.280920168	29.280920168	0.0	48000.0	37-C45-21-06_02	d	2021
74	Waveform 1	2	29.292335805	29.292335805	0.0	48000.0	37-C45-21-06_02	d	2021
75	Waveform 1	2	29.300461928	29.300461928	0.0	48000.0	37-C45-21-06_02	d	2021
76	Waveform 1	2	29.311877597	29.311877597	0.0	48000.0	37-C45-21-06_02	d	2021
77	Waveform 1	2	29.320060686	29.320060686	0.0	48000.0	37-C45-21-06_02	d	2021
78	Waveform 1	2	29.331606634	29.331606634	0.0	48000.0	37-C45-21-06_02	d	2021
79	Waveform 1	2	29.340213129	29.340213129	0.0	48000.0	37-C45-21-06_02	d	2021
80	Waveform 1	2	29.352044031	29.352044031	0.0	48000.0	37-C45-21-06_02	d	2021
81	Waveform 1	2	29.364037813	29.364037813	0.0	48000.0	37-C45-21-06_02	d	2021
82	Waveform 1	2	29.677723783	29.677723783	0.0	48000.0	37-C45-21-06_02	e	2021
83	Waveform 1	2	29.684481976	29.684481976	0.0	48000.0	37-C45-21-06_02	e	2021
84	Waveform 1	2	29.693609620	29.693609620	0.0	48000.0	37-C45-21-06_02	e	2021
85	Waveform 1	2	29.704023737	29.704023737	0.0	48000.0	37-C45-21-06_02	e	2021
86	Waveform 1	2	29.712174287	29.712174287	0.0	48000.0	37-C45-21-06_02	e	2021
87	Waveform 1	2	29.721790445	29.721790445	0.0	48000.0	37-C45-21-06_02	e	2021
88	Waveform 1	2	29.731089080	29.731089080	0.0	48000.0	37-C45-21-06_02	e	2021
89	Waveform 1	2	29.742301156	29.742301156	0.0	48000.0	37-C45-21-06_02	e	2021
90	Waveform 1	2	29.750020157	29.750020157	0.0	48000.0	37-C45-21-06_02	e	2021
91	Waveform 1	2	29.761093812	29.761093812	0.0	48000.0	37-C45-21-06_02	e	2021
92	Waveform 1	2	29.768934950	29.768934950	0.0	48000.0	37-C45-21-06_02	e	2021
93	Waveform 1	2	29.779536375	29.779536375	0.0	48000.0	37-C45-21-06_02	e	2021
94	Waveform 1	2	29.787206489	29.787206489	0.0	48000.0	37-C45-21-06_02	e	2021
95	Waveform 1	2	29.797612496	29.797612496	0.0	48000.0	37-C45-21-06_02	e	2021
96	Waveform 1	2	29.806096886	29.806096886	0.0	48000.0	37-C45-21-06_02	e	2021
97	Waveform 1	2	29.816372582	29.816372582	0.0	48000.0	37-C45-21-06_02	e	2021
98	Waveform 1	2	29.825671216	29.825671216	0.0	48000.0	37-C45-21-06_02	e	2021
99	Waveform 1	2	29.836736729	29.836736729	0.0	48000.0	37-C45-21-06_02	e	2021
100	Waveform 1	2	30.330939733	30.330939733	0.0	48000.0	37-C45-21-06_02	f	2021
101	Waveform 1	2	30.337836348	30.337836348	0.0	48000.0	37-C45-21-06_02	f	2021
102	Waveform 1	2	30.346711575	30.346711575	0.0	48000.0	37-C45-21-06_02	f	2021
103	Waveform 1	2	30.358086500	30.358086500	0.0	48000.0	37-C45-21-06_02	f	2021
104	Waveform 1	2	30.366277763	30.366277763	0.0	48000.0	37-C45-21-06_02	f	2021
105	Waveform 1	2	30.377807394	30.377807394	0.0	48000.0	37-C45-21-06_02	f	2021
106	Waveform 1	2	30.385803238	30.385803238	0.0	48000.0	37-C45-21-06_02	f	2021
107	Waveform 1	2	30.397381724	30.397381724	0.0	48000.0	37-C45-21-06_02	f	2021
108	Waveform 1	2	30.405361284	30.405361284	0.0	48000.0	37-C45-21-06_02	f	2021
109	Waveform 1	2	30.416817633	30.416817633	0.0	48000.0	37-C45-21-06_02	f	2021
110	Waveform 1	2	30.424846047	30.424846047	0.0	48000.0	37-C45-21-06_02	f	2021
111	Waveform 1	2	30.436294254	30.436294254	0.0	48000.0	37-C45-21-06_02	f	2021
112	Waveform 1	2	30.444306383	30.444306383	0.0	48000.0	37-C45-21-06_02	f	2021
113	Waveform 1	2	30.455925581	30.455925581	0.0	48000.0	37-C45-21-06_02	f	2021
114	Waveform 1	2	30.466787564	30.466787564	0.0	48000.0	37-C45-21-06_02	f	2021
115	Waveform 1	2	30.790219971	30.790219971	0.0	48000.0	37-C45-21-06_02	g	2021
116	Waveform 1	2	30.797141013	30.797141013	0.0	48000.0	37-C45-21-06_02	g	2021
117	Waveform 1	2	30.806089523	30.806089523	0.0	48000.0	37-C45-21-06_02	g	2021
118	Waveform 1	2	30.816194227	30.816194227	0.0	48000.0	37-C45-21-06_02	g	2021
119	Waveform 1	2	30.824483199	30.824483199	0.0	48000.0	37-C45-21-06_02	g	2021
120	Waveform 1	2	30.834840351	30.834840351	0.0	48000.0	37-C45-21-06_02	g	2021
121	Waveform 1	2	30.843186288	30.843186288	0.0	48000.0	37-C45-21-06_02	g	2021
122	Waveform 1	2	30.855066076	30.855066076	0.0	48000.0	37-C45-21-06_02	g	2021
123	Waveform 1	2	30.862728049	30.862728049	0.0	48000.0	37-C45-21-06_02	g	2021
124	Waveform 1	2	30.873883159	30.873883159	0.0	48000.0	37-C45-21-06_02	g	2021
125	Waveform 1	2	30.881667300	30.881667300	0.0	48000.0	37-C45-21-06_02	g	2021
126	Waveform 1	2	30.892122129	30.892122129	0.0	48000.0	37-C45-21-06_02	g	2021
127	Waveform 1	2	30.899832988	30.899832988	0.0	48000.0	37-C45-21-06_02	g	2021
128	Waveform 1	2	30.910352923	30.910352923	0.0	48000.0	37-C45-21-06_02	g	2021
129	Waveform 1	2	30.918920930	30.918920930	0.0	48000.0	37-C45-21-06_02	g	2021
130	Waveform 1	2	30.929393840	30.929393840	0.0	48000.0	37-C45-21-06_02	g	2021
131	Waveform 1	2	30.939926044	30.939926044	0.0	48000.0	37-C45-21-06_02	g	2021
132	Waveform 1	2	30.951747906	30.951747906	0.0	48000.0	37-C45-21-06_02	g	2021
133	Waveform 1	2	31.426741883	31.426741883	0.0	48000.0	37-C45-21-06_02	h	2021
134	Waveform 1	2	31.433708999	31.433708999	0.0	48000.0	37-C45-21-06_02	h	2021
135	Waveform 1	2	31.442662484	31.442662484	0.0	48000.0	37-C45-21-06_02	h	2021
136	Waveform 1	2	31.453528221	31.453528221	0.0	48000.0	37-C45-21-06_02	h	2021
137	Waveform 1	2	31.461977702	31.461977702	0.0	48000.0	37-C45-21-06_02	h	2021
138	Waveform 1	2	31.473525326	31.473525326	0.0	48000.0	37-C45-21-06_02	h	2021
139	Waveform 1	2	31.481418922	31.481418922	0.0	48000.0	37-C45-21-06_02	h	2021
140	Waveform 1	2	31.492981371	31.492981371	0.0	48000.0	37-C45-21-06_02	h	2021
141	Waveform 1	2	31.500934259	31.500934259	0.0	48000.0	37-C45-21-06_02	h	2021
142	Waveform 1	2	31.511903612	31.511903612	0.0	48000.0	37-C45-21-06_02	h	2021
143	Waveform 1	2	31.520086268	31.520086268	0.0	48000.0	37-C45-21-06_02	h	2021
144	Waveform 1	2	31.531270713	31.531270713	0.0	48000.0	37-C45-21-06_02	h	2021
145	Waveform 1	2	31.540083373	31.540083373	0.0	48000.0	37-C45-21-06_02	h	2021
146	Waveform 1	2	31.552090531	31.552090531	0.0	48000.0	37-C45-21-06_02	h	2021
147	Waveform 1	2	31.563252741	31.563252741	0.0	48000.0	37-C45-21-06_02	h	2021
148	Waveform 1	2	31.873889478	31.873889478	0.0	48000.0	37-C45-21-06_02	i	2021
149	Waveform 1	2	31.880760240	31.880760240	0.0	48000.0	37-C45-21-06_02	i	2021
150	Waveform 1	2	31.889839728	31.889839728	0.0	48000.0	37-C45-21-06_02	i	2021
151	Waveform 1	2	31.900245930	31.900245930	0.0	48000.0	37-C45-21-06_02	i	2021
152	Waveform 1	2	31.908628706	31.908628706	0.0	48000.0	37-C45-21-06_02	i	2021
153	Waveform 1	2	31.919175735	31.919175735	0.0	48000.0	37-C45-21-06_02	i	2021
154	Waveform 1	2	31.927766040	31.927766040	0.0	48000.0	37-C45-21-06_02	i	2021
155	Waveform 1	2	31.939076487	31.939076487	0.0	48000.0	37-C45-21-06_02	i	2021
156	Waveform 1	2	31.946881139	31.946881139	0.0	48000.0	37-C45-21-06_02	i	2021
157	Waveform 1	2	31.957420756	31.957420756	0.0	48000.0	37-C45-21-06_02	i	2021
158	Waveform 1	2	31.965180787	31.965180787	0.0	48000.0	37-C45-21-06_02	i	2021
159	Waveform 1	2	31.975431343	31.975431343	0.0	48000.0	37-C45-21-06_02	i	2021
160	Waveform 1	2	31.983858588	31.983858588	0.0	48000.0	37-C45-21-06_02	i	2021
161	Waveform 1	2	31.993493963	31.993493963	0.0	48000.0	37-C45-21-06_02	i	2021
162	Waveform 1	2	32.002558627	32.002558627	0.0	48000.0	37-C45-21-06_02	i	2021
163	Waveform 1	2	32.011667610	32.011667610	0.0	48000.0	37-C45-21-06_02	i	2021
