Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	16.105505322	16.105505322	0.0	24000.0	4-bird1	a	2022
2	Waveform 1	1	16.111726884	16.111726884	0.0	24000.0	4-bird1	a	2022
3	Waveform 1	1	16.119875400	16.119875400	0.0	24000.0	4-bird1	a	2022
4	Waveform 1	1	16.131818797	16.131818797	0.0	24000.0	4-bird1	a	2022
5	Waveform 1	1	16.138931685	16.138931685	0.0	24000.0	4-bird1	a	2022
6	Waveform 1	1	16.149158218	16.149158218	0.0	24000.0	4-bird1	a	2022
7	Waveform 1	1	16.157858597	16.157858597	0.0	24000.0	4-bird1	a	2022
8	Waveform 1	1	16.165216790	16.165216790	0.0	24000.0	4-bird1	a	2022
9	Waveform 1	1	16.176908145	16.176908145	0.0	24000.0	4-bird1	a	2022
10	Waveform 1	1	16.183271611	16.183271611	0.0	24000.0	4-bird1	a	2022
11	Waveform 1	1	16.192395430	16.192395430	0.0	24000.0	4-bird1	a	2022
12	Waveform 1	1	16.202579850	16.202579850	0.0	24000.0	4-bird1	a	2022
13	Waveform 1	1	16.209025375	16.209025375	0.0	24000.0	4-bird1	a	2022
14	Waveform 1	1	16.219551685	16.219551685	0.0	24000.0	4-bird1	a	2022
15	Waveform 1	1	16.229573824	16.229573824	0.0	24000.0	4-bird1	a	2022
16	Waveform 1	1	16.239664093	16.239664093	0.0	24000.0	4-bird1	a	2022
17	Waveform 1	1	16.675275298	16.675275298	0.0	24000.0	4-bird1	b	2022
18	Waveform 1	1	16.681788674	16.681788674	0.0	24000.0	4-bird1	b	2022
19	Waveform 1	1	16.689896311	16.689896311	0.0	24000.0	4-bird1	b	2022
20	Waveform 1	1	16.702023663	16.702023663	0.0	24000.0	4-bird1	b	2022
21	Waveform 1	1	16.709129782	16.709129782	0.0	24000.0	4-bird1	b	2022
22	Waveform 1	1	16.719390324	16.719390324	0.0	24000.0	4-bird1	b	2022
23	Waveform 1	1	16.728458624	16.728458624	0.0	24000.0	4-bird1	b	2022
24	Waveform 1	1	16.735728246	16.735728246	0.0	24000.0	4-bird1	b	2022
25	Waveform 1	1	16.747412744	16.747412744	0.0	24000.0	4-bird1	b	2022
26	Waveform 1	1	16.753592277	16.753592277	0.0	24000.0	4-bird1	b	2022
27	Waveform 1	1	16.761369004	16.761369004	0.0	24000.0	4-bird1	b	2022
28	Waveform 1	1	16.772208618	16.772208618	0.0	24000.0	4-bird1	b	2022
29	Waveform 1	1	16.778221938	16.778221938	0.0	24000.0	4-bird1	b	2022
30	Waveform 1	1	16.788639235	16.788639235	0.0	24000.0	4-bird1	b	2022
31	Waveform 1	1	16.797121606	16.797121606	0.0	24000.0	4-bird1	b	2022
32	Waveform 1	1	16.804595622	16.804595622	0.0	24000.0	4-bird1	b	2022
33	Waveform 1	1	16.814999296	16.814999296	0.0	24000.0	4-bird1	b	2022
34	Waveform 1	1	16.823726928	16.823726928	0.0	24000.0	4-bird1	b	2022
35	Waveform 1	1	16.834682421	16.834682421	0.0	24000.0	4-bird1	b	2022
36	Waveform 1	1	17.595307821	17.595307821	0.0	24000.0	4-bird1	c	2022
