Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	13.578995528	13.578995528	0.0	22050.0	S4A17026_20220614	a	2022
2	Waveform 1	1	13.585794910	13.585794910	0.0	22050.0	S4A17026_20220614	a	2022
3	Waveform 1	1	13.592944556	13.592944556	0.0	22050.0	S4A17026_20220614	a	2022
4	Waveform 1	1	13.603102415	13.603102415	0.0	22050.0	S4A17026_20220614	a	2022
5	Waveform 1	1	13.609582431	13.609582431	0.0	22050.0	S4A17026_20220614	a	2022
6	Waveform 1	1	13.618349507	13.618349507	0.0	22050.0	S4A17026_20220614	a	2022
7	Waveform 1	1	13.626405739	13.626405739	0.0	22050.0	S4A17026_20220614	a	2022
8	Waveform 1	1	13.633462673	13.633462673	0.0	22050.0	S4A17026_20220614	a	2022
9	Waveform 1	1	13.643641136	13.643641136	0.0	22050.0	S4A17026_20220614	a	2022
10	Waveform 1	1	13.650079939	13.650079939	0.0	22050.0	S4A17026_20220614	a	2022
11	Waveform 1	1	13.658764599	13.658764599	0.0	22050.0	S4A17026_20220614	a	2022
12	Waveform 1	1	13.667346242	13.667346242	0.0	22050.0	S4A17026_20220614	a	2022
13	Waveform 1	1	13.674197129	13.674197129	0.0	22050.0	S4A17026_20220614	a	2022
14	Waveform 1	1	13.684385895	13.684385895	0.0	22050.0	S4A17026_20220614	a	2022
15	Waveform 1	1	13.691071953	13.691071953	0.0	22050.0	S4A17026_20220614	a	2022
16	Waveform 1	1	13.699643289	13.699643289	0.0	22050.0	S4A17026_20220614	a	2022
17	Waveform 1	1	13.709224231	13.709224231	0.0	22050.0	S4A17026_20220614	a	2022
18	Waveform 1	1	13.716662338	13.716662338	0.0	22050.0	S4A17026_20220614	a	2022
19	Waveform 1	1	13.726099050	13.726099050	0.0	22050.0	S4A17026_20220614	a	2022
20	Waveform 1	1	13.735886038	13.735886038	0.0	22050.0	S4A17026_20220614	a	2022
21	Waveform 1	1	14.052706165	14.052706165	0.0	22050.0	S4A17026_20220614	b	2022
22	Waveform 1	1	14.058969833	14.058969833	0.0	22050.0	S4A17026_20220614	b	2022
23	Waveform 1	1	14.066346131	14.066346131	0.0	22050.0	S4A17026_20220614	b	2022
24	Waveform 1	1	14.075834354	14.075834354	0.0	22050.0	S4A17026_20220614	b	2022
25	Waveform 1	1	14.082571918	14.082571918	0.0	22050.0	S4A17026_20220614	b	2022
26	Waveform 1	1	14.091823197	14.091823197	0.0	22050.0	S4A17026_20220614	b	2022
27	Waveform 1	1	14.099158283	14.099158283	0.0	22050.0	S4A17026_20220614	b	2022
28	Waveform 1	1	14.106699410	14.106699410	0.0	22050.0	S4A17026_20220614	b	2022
29	Waveform 1	1	14.117156030	14.117156030	0.0	22050.0	S4A17026_20220614	b	2022
30	Waveform 1	1	14.123553629	14.123553629	0.0	22050.0	S4A17026_20220614	b	2022
31	Waveform 1	1	14.132732789	14.132732789	0.0	22050.0	S4A17026_20220614	b	2022
32	Waveform 1	1	14.139717592	14.139717592	0.0	22050.0	S4A17026_20220614	b	2022
33	Waveform 1	1	14.147135099	14.147135099	0.0	22050.0	S4A17026_20220614	b	2022
34	Waveform 1	1	14.157292958	14.157292958	0.0	22050.0	S4A17026_20220614	b	2022
35	Waveform 1	1	14.163886293	14.163886293	0.0	22050.0	S4A17026_20220614	b	2022
36	Waveform 1	1	14.172704880	14.172704880	0.0	22050.0	S4A17026_20220614	b	2022
37	Waveform 1	1	14.181080481	14.181080481	0.0	22050.0	S4A17026_20220614	b	2022
38	Waveform 1	1	14.188477379	14.188477379	0.0	22050.0	S4A17026_20220614	b	2022
39	Waveform 1	1	14.198161342	14.198161342	0.0	22050.0	S4A17026_20220614	b	2022
40	Waveform 1	1	14.206279386	14.206279386	0.0	22050.0	S4A17026_20220614	b	2022
41	Waveform 1	1	14.214572571	14.214572571	0.0	22050.0	S4A17026_20220614	b	2022
42	Waveform 1	1	14.224081398	14.224081398	0.0	22050.0	S4A17026_20220614	b	2022
43	Waveform 1	1	14.721558950	14.721558950	0.0	22050.0	S4A17026_20220614	c	2022
44	Waveform 1	1	14.728306821	14.728306821	0.0	22050.0	S4A17026_20220614	c	2022
45	Waveform 1	1	14.735631605	14.735631605	0.0	22050.0	S4A17026_20220614	c	2022
46	Waveform 1	1	14.745799766	14.745799766	0.0	22050.0	S4A17026_20220614	c	2022
47	Waveform 1	1	14.752588840	14.752588840	0.0	22050.0	S4A17026_20220614	c	2022
48	Waveform 1	1	14.761561963	14.761561963	0.0	22050.0	S4A17026_20220614	c	2022
49	Waveform 1	1	14.769752122	14.769752122	0.0	22050.0	S4A17026_20220614	c	2022
50	Waveform 1	1	14.777561101	14.777561101	0.0	22050.0	S4A17026_20220614	c	2022
51	Waveform 1	1	14.788058929	14.788058929	0.0	22050.0	S4A17026_20220614	c	2022
52	Waveform 1	1	14.794889217	14.794889217	0.0	22050.0	S4A17026_20220614	c	2022
53	Waveform 1	1	14.803738710	14.803738710	0.0	22050.0	S4A17026_20220614	c	2022
54	Waveform 1	1	14.811794942	14.811794942	0.0	22050.0	S4A17026_20220614	c	2022
