Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	40.481070670	40.481070670	0.000	48000.000	16-ZOOM0016	a	2023
2	Waveform 1	2	40.487265820	40.487265820	0.000	48000.000	16-ZOOM0016	a	2023
3	Waveform 1	2	40.495412060	40.495412060	0.000	48000.000	16-ZOOM0016	a	2023
4	Waveform 1	2	40.505834450	40.505834450	0.000	48000.000	16-ZOOM0016	a	2023
5	Waveform 1	2	40.513973200	40.513973200	0.000	48000.000	16-ZOOM0016	a	2023
6	Waveform 1	2	40.522179330	40.522179330	0.000	48000.000	16-ZOOM0016	a	2023
7	Waveform 1	2	40.533313020	40.533313020	0.000	48000.000	16-ZOOM0016	a	2023
8	Waveform 1	2	40.539924360	40.539924360	0.000	48000.000	16-ZOOM0016	a	2023
9	Waveform 1	2	40.549912480	40.549912480	0.000	48000.000	16-ZOOM0016	a	2023
10	Waveform 1	2	40.559578650	40.559578650	0.000	48000.000	16-ZOOM0016	a	2023
11	Waveform 1	2	40.567208260	40.567208260	0.000	48000.000	16-ZOOM0016	a	2023
12	Waveform 1	2	40.577525840	40.577525840	0.000	48000.000	16-ZOOM0016	a	2023
13	Waveform 1	2	40.584571430	40.584571430	0.000	48000.000	16-ZOOM0016	a	2023
14	Waveform 1	2	40.593855750	40.593855750	0.000	48000.000	16-ZOOM0016	a	2023
15	Waveform 1	2	40.604098440	40.604098440	0.000	48000.000	16-ZOOM0016	a	2023
16	Waveform 1	2	40.612409400	40.612409400	0.000	48000.000	16-ZOOM0016	a	2023
17	Waveform 1	2	40.622876720	40.622876720	0.000	48000.000	16-ZOOM0016	a	2023
18	Waveform 1	2	41.039944590	41.039944590	0.000	48000.000	16-ZOOM0016	b	2023
19	Waveform 1	2	41.046136630	41.046136630	0.000	48000.000	16-ZOOM0016	b	2023
20	Waveform 1	2	41.054163070	41.054163070	0.000	48000.000	16-ZOOM0016	b	2023
21	Waveform 1	2	41.064637870	41.064637870	0.000	48000.000	16-ZOOM0016	b	2023
22	Waveform 1	2	41.072432210	41.072432210	0.000	48000.000	16-ZOOM0016	b	2023
23	Waveform 1	2	41.080443670	41.080443670	0.000	48000.000	16-ZOOM0016	b	2023
24	Waveform 1	2	41.091315300	41.091315300	0.000	48000.000	16-ZOOM0016	b	2023
25	Waveform 1	2	41.098098850	41.098098850	0.000	48000.000	16-ZOOM0016	b	2023
26	Waveform 1	2	41.107817430	41.107817430	0.000	48000.000	16-ZOOM0016	b	2023
27	Waveform 1	2	41.116645010	41.116645010	0.000	48000.000	16-ZOOM0016	b	2023
28	Waveform 1	2	41.124514220	41.124514220	0.000	48000.000	16-ZOOM0016	b	2023
29	Waveform 1	2	41.134801840	41.134801840	0.000	48000.000	16-ZOOM0016	b	2023
30	Waveform 1	2	41.141637760	41.141637760	0.000	48000.000	16-ZOOM0016	b	2023
