,year,file,lon,lat,date,time,site,pop,weather,wind,distance,temperature,notes
,2018,01-C45-18-01,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,02-C45-18-02,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,03-C22-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,04-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,05-C03-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,06-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,07-C03-18-05,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,08-C03-18-04,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,10-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,11-C45-18-05,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,12-C45-18-06,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,14-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,15-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,16-C14-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,17-C14-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,18-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,19-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,20-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,21-C14-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,23-C14-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,24-C24-18-02,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,26-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,27-C03-18-05,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,28-C03-18-06,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,29-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,30-C03-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,31-C03-18-06,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,32-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,33-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,34-C24-18-01,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,35-C24-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
1,2021,01-C45-21-01,-7.364465,55.37577,2021-04-13,22:48,Ballyhillin,east_donegal,clear,1,7,4,Weather: Light northerly wind. 4 degrees Celsius. Clear skies with light breeze. Background sound: the sea and breeze. Also water running in a small ditch next to the road. Recording distance : 5- 10 metres approx. 
2,2021,02-C03-21-02,-7.85819,55.205205,2021-04-19,22:47,Downings,west_donegal,light rain,2,25,8,"Weather:  Northerly wind. 8 degrees Celsius. Some light rain. Background sound: the sea, wind and rain. Distant urban noise of Downings and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 20-30 metres approx. "
3,2021,03-C03-21-02,-7.85819,55.205205,2021-04-19,22:36,Downings,west_donegal,light rain,2,25,8,"Weather:  Northerly wind. 8 degrees Celsius. Some light rain. Background sound: the sea, wind and rain. Distant urban noise of Downings and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 20-30 metres approx. This is an alternative but clearer,  shorter sound file to that in file no:2 "
4,2021,04-C45-21-02,-7.345933,55.352439,2021-04-22,23:30,Ardmalin,east_donegal,clear,1,7,9,Weather:  Northerly breeze. 9 degrees Celsius. Clear skies. Background sound: the sea and wind. Corncrake accompanied by reeling of Grasshopper warbler. Distant traffic noise of and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 5-10 metres approx. 
5,2021,05-C45-21-03,-7.345933,55.352439,2021-04-25,23:58,Ardmalin,east_donegal,clear,2,25,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also Culoort corncrake calling in the distance. Recording distance : 20-30 metres approx. "
6,2021,06-C45-21-06,-7.347158,55.350801,2021-04-26,00:30,Culoort,east_donegal,clear,2,25,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also C45/21/03 calling in the distance. Recording distance : 20-30 metres approx. "
7,2021,07-C45-21-05,-7.345452,55.364367,2021-04-26,01:18,Ardmalin,east_donegal,clear,1,15,9,"Weather:  Northerly breeze. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, Jackdaws and Grasshopper warbler calling. Recording distance : 10-20 metres approx. "
8,2021,08-C45-21-04,-7.365333,55.376708,2021-04-26,01:57,Ballyhillin,east_donegal,clear,2,5,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also C45/21/01 calling in the distance but mixed in with echo off of nearby cottages. Recording distance : 5 metres approx. "
9,2021,09-C45-21-07,-7.336123,55.365763,2021-04-30,01:14,Ardmalin,east_donegal,clear,2,15,7,"Weather:  Northerly wind. 7 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also sheep calling. Recording distance : 15 metres approx. "
10,2021,10-C03-21-01,-7.907992,55.169981,2021-05-05,22:43,Fraugher,west_donegal,clear,2,8,2,"Weather:  Northerly wind. 2 degrees Celsius. Clear skies with light breeze. Occasional wintery shower. Background sound: the sea, wind and two echoes bouncing off of nearby houses. Recording distance : 8 metres approx. Calling close to an old wooden  boat on a trailer. "
11,2021,11-C03-21-08,-7.855432,55.203315,2021-05-06,23:54,Downings,west_donegal,clear,2,8,8,"Weather:  Northerly wind. 8 degrees Celsius. Clear skies blustery wind. Background sound: the sea, wind. Also the sound of horses and other livestock. Also echo of call off of  nearby houses. Recording distance : 8 metres approx. "
12,2021,12-CottageRowe-Unconfirmed,-7.973796,55.181728,2021-05-10,23:28,Dunfanaghy,west_donegal,light rain,2,28,11,Weather:  SW wind. 11 degrees Celsius.  SW Gentle breeze. Background sound: Urban sounds of Dunfanaghy inc. traffic. Also echo of call off of nearby houses. Recording distance : 25-30 metres approx. 
13,2021,13-C03-21-03,-7.975125,55.191377,2021-05-11,00:01,Dunfanaghy,west_donegal,light rain,1,7,11,"Weather: Light wind. Background sound: the sea, nearby stream. 11 degrees Celsius.  SW Gentle breeze. Also echo of call off of nearby houses. : Urban sounds of Dunfanaghy inc. traffic. Recording distance : 5-10 metres approx. "
14,2021,14-C45-21-10,-7.358623,55.377967,2021-05-13,23:15,Ballyhillin,east_donegal,light rain,1,5,12,"Weather: Light wind.  Background sound: the sea, nearby stream. 12 degrees Celsius. Light  breeze. Recording distance: 5 metres approx. "
15,2021,15-C45-21-09,-7.36619,55.377414,2021-05-13,23:31,Ballyhillin,east_donegal,light rain,1,7,12,"Weather:  Background sound: the sea, wind, sheep. 12 degrees Celsius. Light  breeze. Recording distance: 5-10 metres approx. "
16,2021,16-C03-21-04,-7.9769,55.190965,2021-05-16,00:12,Dunfanaghy,west_donegal,light rain,1,13,12,"Weather: Light wind.  Background sound: Urban sound of Dunfanaghy, music from party, traffic, animals and water birds. C03-21-03 calling in background. 12 degrees Celsius. Light breeze. Recording distance: 10- 15 metres approx. "
17,2021,17-C03-21-02,-7.858389,55.206715,2021-05-16,01:52,Downings,west_donegal,light rain,0,7,13,Weather: Calm.  Background sound: Wind and the sea.Vibration and echo off of metal farm buildings and nearby houses.13 degrees Celsius. Light breeze. Recording distance: 5- 10 metres approx. 
18,2021,18-C14-21-01,-7.798023,55.232998,2021-05-26,23:20,Gortnalughoge,west_donegal,partly overcast,1,13,14,Weather: Light wind.  Background sound: Wind and the sea.14 degrees Celsius. Light breeze. Recording distance: 10- 15 metres approx. 
