batch,file_name,site,temp_id,population,n_coor,w_coor,year,date,time,day_night,distance,weather,wind,temperature
1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11
1,ZOOM0008,Drumnatinny,B,w_donegal,55.156083,-8.088598,2022,2022-04-29,22:23,n,5,1/8,0,11
1,ZOOM0013,Inishbofin (Galway),D,galway,53.624092,-10.190134,2022,2022-05-01,00:17,n,10,7/8,1,11
1,ZOOM0014,Inishbofin (Galway),E,galway,53.613856,-10.213183,2022,2022-05-01,09:51,d,10,8/8,1,11
2,ZOOM0002,Mushroom factory,B,mullet,54.252353,-9.992159,2022,2022-05-04,02:30,n,10,8/8,2,10
2,ZOOM0003,Mushroom factory,C,mullet,54.251879,-9.99116,2022,2022-05-04,02:40,n,20,8/8,2,9
2,ZOOM0005,Binghamstown,A,mullet,54.210495,-10.033842,2022,2022-05-04,03:17,n,10,6/8,1,11
2,ZOOM0008,Mushroom factory,E,mullet,54.254062,-9.993318,2022,2022-05-04,11:04,d,20,7/8,1,12
2,ZOOM0010,Mushroom factory,D,mullet,54.254059,-9.993205,2022,2022-05-04,11:08,d,10,7/8,1,12
3,ZOOM0002,Termoncarragh Graveyard,A,mullet,54.244473,-10.068278,2022,2022-05-13,00:03,n,5,8/8,2,11
5,ZOOM0002,Mushroom factory,B,mullet,54.251735,-9.991375,2022,2022-05-20,22:55,n,10,8/8,1,11
5,ZOOM0005,Mushroom factory,A,mullet,54.251936,-9.991967,2022,2022-05-20,23:07,n,5,8/8,1,11
5,ZOOM0006,Mushroom factory,C,mullet,54.252646,-9.992186,2022,2022-05-20,23:14,n,5,8/8,1,11
5,ZOOM0007,Emlybeg,D,mullet,54.2114,-10.034538,2022,2022-05-21,00:40,n,10,8/8,1,12
5,ZOOM0010,Drum,E,mullet,54.207362,-10.0623792,2022,2022-05-21,01:39,n,5,8/8,1,13
6,ZOOM0002,"Drumnatinny, Falcarragh",A,w_donegal,55.155172,-8.089716,2022,2022-05-25,23:51,n,10,8/8,1,9
6,ZOOM0004,"Drumnatinny, Falcarragh",B,w_donegal,55.155854,-8.088959,2022,2022-05-25,23:59,n,10,8/8,1,10
7,ZOOM0003,GAA Gortnamalin,A,e_donegal,55.354507,-7.347236,2022,2022-06-02,23:21,n,10,6/8,1,13
7,ZOOM0004,GAA Gortnamalin,B,e_donegal,55.352738,-7.345347,2022,2022-06-02,23:29,n,60,4/8,1,13
8,ZOOM0004,Termoncarragh,A,mullet,54.248675,-10.062088,2022,2022-06-08,23:42,n,10,0/8,1,14
8,ZOOM0006,Termoncarragh,B,mullet,54.249632,-10.074922,2022,2022-06-09,00:13,n,5,0/8,1,13
8,ZOOM0007,Binghamstown,C,mullet,54.218655,-10.031771,2022,2022-06-09,01:00,n,25,5/8,1,14
9,ZOOM0004,Omey Cloon,A,galway,53.527597,-10.150233,2022,2022-06-13,23:54,n,10,8/8,2,13
10,ZOOM0003,Annagh,A,mullet,54.233257,-10.072321,2022,2022-06-20,13:05,d,15,2/8,1,18
10,ZOOM0006,Emlybeg,B,mullet,54.216422,-10.028058,2022,2022-06-21,00:35,n,30,8/8,1,15
11,ZOOM0004,Dunfanaghy,B,w_donegal,55.188265,-7.981314,2022,2022-06-24,00:44,n,5,7/8,0,15
